Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Durant, Kevin",-1,70.6,N/A,gsw,cle,home, 132-113,40:42,33,13,6,3,5,3,4,13,22,3,3
"James, LeBron",-1,67.2,N/A,cle,gsw,away, 113-132,39:22,29,11,14,3,1,4,1,12,18,4,5
"Curry, Stephen",-1,54.5,N/A,gsw,cle,home, 132-113,36:15,32,10,11,1,0,8,4,7,17,14,14
"Love, Kevin",-1,38.4,N/A,cle,gsw,away, 113-132,30:11,27,7,0,2,0,1,2,12,23,1,1
"Irving, Kyrie",-1,32.9,N/A,cle,gsw,away, 113-132,40:02,19,2,7,2,0,3,2,8,23,1,2
"Thompson, Klay",-1,29.9,N/A,gsw,cle,home, 132-113,37:07,22,7,1,0,0,2,4,8,12,2,3
"Green, Draymond",-1,27.2,N/A,gsw,cle,home, 132-113,24:38,12,6,6,1,0,3,3,4,8,1,2
"Thompson, Tristan",-1,18.3,N/A,cle,gsw,away, 113-132,21:14,8,4,1,2,0,0,0,4,7,0,0
"Iguodala, Andre",-1,18.3,N/A,gsw,cle,home, 132-113,28:20,5,4,5,0,1,1,1,2,6,0,0
"Shumpert, Iman",-1,16.8,N/A,cle,gsw,away, 113-132,21:41,6,4,0,3,0,0,0,1,6,4,4
"Clark, Ian",-1,14.4,N/A,gsw,cle,home, 132-113,12:33,10,2,2,0,0,1,2,4,8,0,0
"Livingston, Shaun",-1,12.7,N/A,gsw,cle,home, 132-113,19:08,10,1,1,0,0,0,0,4,7,2,2
"Korver, Kyle",-1,11.5,N/A,cle,gsw,away, 113-132,23:21,8,0,1,1,0,0,1,2,4,3,3
"West, David",-1,10.6,N/A,gsw,cle,home, 132-113,11:20,2,3,2,0,1,0,0,1,2,0,0
"Jefferson, Richard",-1,10.2,N/A,cle,gsw,away, 113-132,13:09,7,1,0,1,0,0,1,2,3,2,4
"Williams, Deron",-1,10.1,N/A,cle,gsw,away, 113-132,14:11,0,3,3,1,0,0,0,0,5,0,0
"Frye, Channing",-1,7.1,N/A,cle,gsw,away, 113-132,11:11,2,3,1,0,0,0,0,1,5,0,0
"McGee, JaVale",-1,5.6,N/A,gsw,cle,home, 132-113,2:46,2,3,0,0,0,0,0,1,2,0,0
"Jones, Dahntay",-1,5.6,N/A,cle,gsw,away, 113-132,4:05,2,3,0,0,0,0,0,1,1,0,0
"Williams, Derrick",-1,5,N/A,cle,gsw,away, 113-132,3:47,5,0,0,0,0,0,1,2,3,0,0
"McAdoo, James Michael",-1,3.2,N/A,gsw,cle,home, 132-113,4:06,2,1,0,0,0,0,0,1,2,0,0
"Pachulia, Zaza",-1,2.4,N/A,gsw,cle,home, 132-113,12:43,2,2,0,0,0,2,0,1,2,0,0
"Smith, J.R.",-1,1.4,N/A,cle,gsw,away, 113-132,13:59,0,2,0,0,0,1,0,0,2,0,0
"McCaw, Patrick",-1,1.2,N/A,gsw,cle,home, 132-113,7:13,0,1,0,0,0,0,0,0,0,0,0
"Jones, James",-1,1.2,N/A,cle,gsw,away, 113-132,3:47,0,1,0,0,0,0,0,0,0,0,0
