Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Westbrook, Russell",1,61.1,12500,okc,mia,away, 115-93,37:56,23,18,13,1,0,6,2,8,21,5,6
"Bledsoe, Eric",1,56.9,8600,mil,orl,home, 102-86,34:35,20,12,11,3,0,3,2,7,17,4,4
"Teague, Jeff",1,47.8,7500,min,mem,home, 113-94,33:20,24,4,8,3,1,5,1,9,19,5,5
"Holiday, Jrue",2,47.5,8900,nor,lac,away, 113-100,33:04,8,5,11,3,3,1,0,4,7,0,0
"Russell, D'Angelo",2,45.7,7100,bkn,chi,home, 114-105,35:30,21,6,11,2,0,5,3,9,21,0,0
"Thornwell, Sindarius",1,45.5,3700,lac,nor,home, 100-113,32:06,20,5,7,2,2,3,2,9,14,0,3
"Middleton, Khris",2,43.4,8100,mil,orl,home, 102-86,36:48,18,7,6,3,1,4,1,7,16,3,3
"Smith, J.R.",2,36.4,3500,cle,nyk,away, 123-109,31:31,16,7,4,2,0,0,4,6,13,0,0
"Jackson, Reggie",1,36.1,6000,det,tor,home, 98-108,33:43,16,3,9,1,0,0,0,7,18,2,2
"Ntilikina, Frank",1,35.7,4000,nyk,cle,home, 109-123,40:02,17,6,5,1,1,2,1,8,16,0,0
"Chalmers, Mario",1,34.8,3500,mem,min,away, 94-113,13:48,8,4,4,4,2,2,0,1,4,6,7
"Lillard, Damian",1,34.3,9700,por,den,away, 82-88,40:20,25,4,3,1,0,3,2,8,22,7,11
"Kennard, Luke",2,33.4,4200,det,tor,home, 98-108,34:30,20,7,2,1,0,1,3,7,13,3,4
"McCollum, C.J.",2,32.9,7300,por,den,away, 82-88,38:13,16,7,3,2,0,2,2,5,18,4,4
"Lowry, Kyle",1,32.7,7500,tor,det,away, 108-98,26:05,11,6,9,0,1,2,3,4,8,0,0
"Barton, Will",2,31.9,7400,den,por,home, 88-82,39:00,22,7,3,0,0,3,1,8,15,5,6
"Ginobili, Manu",2,31.7,3900,sas,sac,home, 98-85,27:11,17,6,5,1,0,3,2,5,11,5,5
"Fox, De'Aaron",1,31.3,5800,sac,sas,away, 85-98,37:38,21,4,7,0,0,5,3,7,17,4,5
"Payne, Cameron",1,30.6,5400,chi,bkn,away, 105-114,24:02,15,3,6,2,0,3,3,6,10,0,0
"Dinwiddie, Spencer",1,30.1,5000,bkn,chi,home, 114-105,35:22,20,3,7,0,0,4,3,6,13,5,6
"Johnson, Tyler",1,29.8,4700,mia,okc,home, 93-115,32:29,12,4,4,3,0,2,2,5,10,0,0
"Clark, Ian",1,29.8,3500,nor,lac,away, 113-100,28:28,13,4,6,1,0,0,3,5,9,0,0
"DeRozan, DeMar",2,29.1,7400,tor,det,away, 108-98,28:25,16,3,7,0,0,1,2,6,12,2,2
"Kilpatrick, Sean",2,29.1,5300,chi,bkn,away, 105-114,26:06,16,3,1,2,1,1,2,6,13,2,4
"Hield, Buddy",2,29.1,5700,sac,sas,away, 85-98,32:04,17,3,1,2,1,2,3,7,17,0,0
"McLemore, Ben",2,27.9,3600,mem,min,away, 94-113,41:35,18,7,1,0,0,0,0,8,15,2,2
"Lee, Courtney",2,27.7,3700,nyk,cle,home, 109-123,26:45,17,6,1,0,1,1,3,7,12,0,0
"Wiggins, Andrew",2,26.7,6800,min,mem,home, 113-94,35:31,7,6,1,3,1,1,0,3,12,1,1
"Rondo, Rajon",1,24.3,6500,nor,lac,away, 113-100,25:14,5,4,9,2,0,5,1,2,6,0,2
"Holiday, Justin",2,23.8,4500,chi,bkn,away, 105-114,21:54,13,4,4,0,0,0,2,5,12,1,1
"Henry, Myke",2,23.4,3500,mem,min,away, 94-113,25:07,6,2,2,3,1,0,2,2,8,0,0
"Williams, C.J.",2,21.1,3500,lac,nor,home, 100-113,30:23,10,3,3,1,0,0,0,5,12,0,0
"Burke, Trey",1,21,6400,nyk,cle,home, 109-123,33:44,12,0,8,0,0,3,1,5,11,1,2
"Snell, Tony",2,20.9,4000,mil,orl,home, 102-86,25:18,9,2,1,2,1,1,2,3,10,1,2
"Clarkson, Jordan",2,20.7,4300,cle,nyk,away, 123-109,22:12,16,1,3,0,0,1,4,5,9,2,2
"Brown, Lorenzo",1,20.5,3500,tor,det,away, 108-98,24:42,11,5,1,1,0,1,1,5,9,0,0
