Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Holiday, Jrue",2,71.8,9200,nor,lac,home, 126-129,42:08,32,4,14,4,1,1,4,12,23,4,6
"Beal, Bradley",2,55.1,8100,was,nyk,away, 110-107,38:16,27,8,7,2,1,1,2,12,25,1,1
"Russell, D'Angelo",2,53.6,7800,bkn,cle,home, 97-99,32:41,30,8,6,2,0,1,4,13,31,0,1
"Harden, James",2,49.8,11500,hou,min,away, 91-103,37:01,29,4,8,2,1,5,3,8,17,10,13
"Thompson, Klay",2,40.6,7000,gsw,atl,away, 128-111,32:01,27,8,2,1,0,2,3,10,19,4,4
"Clarkson, Jordan",2,40.2,5500,cle,bkn,away, 99-97,28:03,20,11,4,1,0,2,1,9,22,1,1
"Curry, Stephen",1,39.6,9700,gsw,atl,away, 128-111,29:06,30,3,2,1,1,3,6,10,17,4,4
"Wall, John",1,38.5,9500,was,nyk,away, 110-107,37:03,18,0,15,0,1,5,1,7,20,3,4
"Westbrook, Russell",1,35.2,11400,okc,det,away, 110-83,28:59,18,6,6,2,0,5,2,7,17,2,3
"Murray, Jamal",1,34.4,7000,den,tor,away, 106-103,40:34,21,7,8,0,0,7,2,9,21,1,1
"Lowry, Kyle",1,34.1,8100,tor,den,home, 103-106,33:48,5,3,11,1,3,3,1,1,7,2,2
"Teague, Jeff",1,32.5,6900,min,hou,home, 103-91,35:55,14,5,7,1,0,1,2,4,10,4,6
"Wiggins, Andrew",2,31.8,5900,min,hou,home, 103-91,34:05,16,4,0,1,3,1,2,6,11,2,5
"Lin, Jeremy",1,31.5,4700,atl,gsw,home, 111-128,24:13,14,5,5,2,0,2,0,5,9,4,5
"Dotson, Damyean",2,31.3,4200,nyk,was,home, 107-110,24:20,17,9,1,1,0,1,3,6,12,2,2
"Schroder, Dennis",2,30.8,5800,okc,det,away, 110-83,24:39,12,9,6,1,0,4,0,6,13,0,0
"Williams, Louis",2,30.6,5700,lac,nor,away, 129-126,23:54,20,3,6,0,0,2,1,7,12,5,5
"Dinwiddie, Spencer",1,29.6,6300,bkn,cle,home, 97-99,32:15,18,3,4,1,0,1,4,6,14,2,3
"Mudiay, Emmanuel",1,27,5000,nyk,was,home, 107-110,36:12,16,5,4,0,1,4,2,6,15,2,2
"Huerter, Kevin",2,25,4200,atl,gsw,home, 111-128,27:27,10,5,4,1,1,3,0,4,6,2,2
"Bradley, Avery",2,24.6,4100,lac,nor,away, 129-126,29:17,15,3,2,1,1,3,1,7,12,0,0
"Brown, Bruce",2,23.6,3500,det,okc,home, 83-110,19:45,9,3,2,3,0,1,0,2,4,5,6
"Paul, Chris",1,23.1,8200,hou,min,away, 91-103,36:27,5,3,7,3,0,5,1,1,8,2,2
"Hardaway Jr., Tim",2,23,7300,nyk,was,home, 107-110,30:01,20,0,2,0,0,0,4,7,15,2,3
"Burks, Alec",2,22.9,4000,cle,bkn,away, 99-97,28:57,13,7,1,0,0,0,1,5,13,2,2
"Sexton, Collin",1,22.2,5500,cle,bkn,away, 99-97,31:59,15,1,2,1,0,0,1,7,16,0,0
"Iguodala, Andre",2,20.9,3800,gsw,atl,away, 128-111,21:39,2,2,5,1,2,0,0,1,3,0,0
"Wright, Delon",2,20.6,3600,tor,den,home, 103-106,15:06,9,3,2,2,0,1,1,4,7,0,0
"Crabbe, Allen",2,20.6,4300,bkn,cle,home, 97-99,32:34,5,8,2,1,0,0,1,1,7,2,2
"Lee, Courtney",2,19,3600,nyk,was,home, 107-110,15:31,7,5,2,1,0,0,1,1,4,4,5
"Beasley, Malik",2,18.9,3800,den,tor,away, 106-103,26:35,15,2,1,0,0,0,3,6,8,0,0
"Green, Danny",2,18.6,4700,tor,den,home, 103-106,31:10,9,3,0,2,0,0,3,3,9,0,0
"Gordon, Eric",2,18.2,5500,hou,min,away, 91-103,34:03,10,1,2,1,1,2,2,4,13,0,0
"Beverley, Patrick",1,17.9,3700,lac,nor,away, 129-126,21:03,8,2,5,0,0,0,2,3,5,0,0
"Ferguson, Terrance",2,17.6,3500,okc,det,away, 110-83,26:59,2,3,4,1,1,0,0,0,1,2,2
"Young, Trae",1,17.5,7200,atl,gsw,home, 111-128,25:22,20,0,3,0,0,7,0,8,20,4,6
"VanVleet, Fred",1,17.4,4900,tor,den,home, 103-106,18:14,2,2,4,3,0,2,0,1,7,0,0
"Frazier, Tim",1,16.8,5200,nor,lac,home, 126-129,28:54,7,4,4,1,0,4,1,3,5,0,0
"Napier, Shabazz",1,16.8,4100,bkn,cle,home, 97-99,17:53,10,4,2,0,0,1,0,5,10,0,0
"Craig, Torrey",2,16.3,3700,den,tor,away, 106-103,17:01,8,4,1,1,0,1,2,3,4,0,0
"Hill, George",1,16,4700,cle,bkn,away, 99-97,35:22,6,5,2,1,0,2,0,2,7,2,2
"Livingston, Shaun",1,14.7,3500,gsw,atl,away, 128-111,18:24,2,1,5,1,1,2,0,0,1,2,2
"Felton, Raymond",1,14.6,3500,okc,det,away, 110-83,6:51,5,3,0,1,1,0,1,2,5,0,0
"Jackson, Reggie",1,14.6,6100,det,okc,home, 83-110,27:59,10,3,2,0,0,2,1,4,10,1,1
"Jones, Tyus",1,13.2,3800,min,hou,home, 103-91,12:05,5,1,0,3,0,2,1,2,4,0,0
"Wallace, Tyrone",2,13.1,3500,lac,nor,away, 129-126,11:02,8,3,1,0,0,0,0,4,6,0,2
"Smith, Ishmael",1,12.2,3700,det,okc,home, 83-110,20:57,4,1,2,1,1,2,1,1,5,1,2
"Gilgeous-Alexander, Shai",1,11.4,6000,lac,nor,away, 129-126,23:16,7,2,2,0,0,1,1,3,5,0,0
"Rose, Derrick",1,10.1,6100,min,hou,home, 103-91,25:17,0,3,5,0,0,1,0,0,4,0,0
"Satoransky, Tomas",1,9.9,3800,was,nyk,away, 110-107,23:51,3,2,3,0,0,0,1,1,4,0,0
"Morris, Monte",2,9.7,4300,den,tor,away, 106-103,22:06,8,1,1,0,0,1,0,3,10,2,3
"Cook, Quinn",1,8.4,3600,gsw,atl,away, 128-111,13:02,4,2,0,1,0,1,0,2,5,0,0
"Bazemore, Kent",2,5.5,5400,atl,gsw,home, 111-128,19:04,3,0,1,0,1,2,1,1,6,0,0
"Anderson, Justin",2,4,3700,atl,gsw,home, 111-128,3:43,4,0,0,0,0,0,0,1,2,2,2
"Abrines, Alex",2,3.7,3500,okc,det,away, 110-83,17:59,2,1,1,0,0,1,0,1,3,0,0
"Galloway, Langston",2,3.6,3700,det,okc,home, 83-110,25:28,0,3,0,0,0,0,0,0,4,0,0
"Trier, Allonzo",2,3.5,3900,nyk,was,home, 107-110,15:21,2,0,1,0,0,0,0,0,4,2,4
"Calderon, Jose",1,3.5,3500,det,okc,home, 83-110,8:31,0,0,3,0,0,1,0,0,2,0,0
"Lee, Damion",2,2.9,3700,gsw,atl,away, 128-111,12:11,0,2,1,0,0,1,0,0,1,0,0
"Rivers, Austin",2,2.7,3700,was,nyk,away, 110-107,13:42,0,1,1,0,0,0,0,0,3,0,0
"Kennard, Luke",2,2.2,3600,det,okc,home, 83-110,12:17,0,1,0,1,0,2,0,0,5,0,0
"Bullock, Reggie",2,1.2,4600,det,okc,home, 83-110,2:57,0,1,0,0,0,0,0,0,1,0,0
"Burton, Deonte",2,1,3500,okc,det,away, 110-83,7:47,2,0,0,0,0,1,0,0,1,2,2
"Thornwell, Sindarius",2,0,3500,lac,nor,away, 129-126,00:03,0,0,0,0,0,0,0,0,0,0,0
"Baker, Ron",2,0,3500,nyk,was,home, 107-110,DNP,0,0,0,0,0,0,0,0,0,0,0
"Teodosic, Milos",1,0,3500,lac,nor,away, 129-126,DNP,0,0,0,0,0,0,0,0,0,0,0
"Ntilikina, Frank",1,0,3500,nyk,was,home, 107-110,DNP,0,0,0,0,0,0,0,0,0,0,0
"Brown, Lorenzo",1,0,3500,tor,den,home, 103-106,DNP,0,0,0,0,0,0,0,0,0,0,0
"Richardson, Malachi",2,0,3500,tor,den,home, 103-106,DNP,0,0,0,0,0,0,0,0,0,0,0
"Clark, Ian",2,0,3500,nor,lac,home, 126-129,DNP,0,0,0,0,0,0,0,0,0,0,0
"Okogie, Josh",2,0,4500,min,hou,home, 103-91,DNP,0,0,0,0,0,0,0,0,0,0,0
"Diallo, Hamidou",2,0,3500,okc,det,away, 110-83,DNP,0,0,0,0,0,0,0,0,0,0,0
"Goodwin, Brandon",1,0,3500,den,tor,away, 106-103,DNP,0,0,0,0,0,0,0,0,0,0,0
"Carter-Williams, Michael",1,0,3500,hou,min,away, 91-103,DNP,0,0,0,0,0,0,0,0,0,0,0
"Jackson, Frank",1,0,3500,nor,lac,home, 126-129,DNP,0,0,0,0,0,0,0,0,0,0,0
"Payton, Elfrid",1,0,6900,nor,lac,home, 126-129,NA,0,0,0,0,0,0,0,0,0,0,0
"Akoon-Purcell, DeVaughn",2,0,3500,den,tor,away, 106-103,NA,0,0,0,0,0,0,0,0,0,0,0
"Thomas, Khyri",2,0,3500,det,okc,home, 83-110,NA,0,0,0,0,0,0,0,0,0,0,0
"Roberson, Andre",2,0,3500,okc,det,away, 110-83,NA,0,0,0,0,0,0,0,0,0,0,0
"Loyd, Jordan",1,0,3500,tor,den,home, 103-106,NA,0,0,0,0,0,0,0,0,0,0,0
"Graham, Treveon",2,0,3500,bkn,cle,home, 97-99,NA,0,0,0,0,0,0,0,0,0,0,0
"Robinson, Jerome",1,0,3500,lac,nor,away, 129-126,NA,0,0,0,0,0,0,0,0,0,0,0
"Hamilton, Daniel",2,0,3500,atl,gsw,home, 111-128,NA,0,0,0,0,0,0,0,0,0,0,0
"Terrell, Jared",2,0,3500,min,hou,home, 103-91,NA,0,0,0,0,0,0,0,0,0,0,0
"Luwawu, Timothe",2,0,3500,okc,det,away, 110-83,NA,0,0,0,0,0,0,0,0,0,0,0
"McRae, Jordan",2,0,3500,was,nyk,away, 110-107,NA,0,0,0,0,0,0,0,0,0,0,0
"Smith, J.R.",2,0,3500,cle,bkn,away, 99-97,NA,0,0,0,0,0,0,0,0,0,0,0
"Thomas, Isaiah",1,0,5100,den,tor,away, 106-103,NA,0,0,0,0,0,0,0,0,0,0,0
"Adams, Jaylen",2,0,3500,atl,gsw,home, 111-128,NA,0,0,0,0,0,0,0,0,0,0,0
"Dorsey, Tyler",2,0,3500,atl,gsw,home, 111-128,NA,0,0,0,0,0,0,0,0,0,0,0
"Nwaba, David",2,0,4200,cle,bkn,away, 99-97,NA,0,0,0,0,0,0,0,0,0,0,0
"Evans, Keenan",1,0,3500,det,okc,home, 83-110,NA,0,0,0,0,0,0,0,0,0,0,0
"Lofton, Zach",2,0,3500,det,okc,home, 83-110,NA,0,0,0,0,0,0,0,0,0,0,0
"Bayless, Jerryd",1,0,3500,min,hou,home, 103-91,NA,0,0,0,0,0,0,0,0,0,0,0
"Williams, C.J.",2,0,3500,min,hou,home, 103-91,NA,0,0,0,0,0,0,0,0,0,0,0
"Bluiett, Trevon",2,0,3500,nor,lac,home, 126-129,NA,0,0,0,0,0,0,0,0,0,0,0
"Knight, Brandon",1,0,3500,hou,min,away, 91-103,NA,0,0,0,0,0,0,0,0,0,0,0
"Burke, Trey",1,0,4800,nyk,was,home, 107-110,NA,0,0,0,0,0,0,0,0,0,0,0
"Evans III, Jacob",2,-1,3500,gsw,atl,away, 128-111,4:12,0,0,0,0,0,1,0,0,0,0,0
"Davis, Anthony",4,62.1,12700,nor,lac,home, 126-129,38:47,23,13,5,3,3,2,0,10,18,3,4
"Durant, Kevin",3,47,11000,gsw,atl,away, 128-111,33:33,28,5,8,2,0,5,1,10,13,7,8
"Collins, John",4,41.2,7100,atl,gsw,home, 111-128,29:45,24,11,2,0,1,2,0,11,14,2,3
"George, Paul",3,41,8600,okc,det,away, 110-83,30:46,17,10,4,2,0,0,2,7,18,1,1
"Griffin, Blake",4,40,9200,det,okc,home, 83-110,30:27,20,5,4,2,1,1,3,7,18,3,4
"Oubre, Kelly",3,39.5,4300,was,nyk,away, 110-107,31:43,21,5,1,1,3,1,5,8,11,0,0
"Porter, Otto",3,39,7000,was,nyk,away, 110-107,32:13,15,5,0,3,3,0,3,6,9,0,0
"Harris, Tobias",4,38.7,8100,lac,nor,away, 129-126,35:26,27,6,1,2,0,3,1,10,16,6,6
"Leonard, Kawhi",3,36.6,10400,tor,den,home, 103-106,34:33,27,8,2,0,0,3,1,10,19,6,6
"Gallinari, Danilo",3,36,7300,lac,nor,away, 129-126,31:28,24,5,4,0,0,0,2,7,13,8,8
"Gibson, Taj",4,35.7,4300,min,hou,home, 103-91,27:05,15,11,3,1,0,0,0,4,11,7,8
"Siakam, Pascal",4,34.7,6800,tor,den,home, 103-106,29:27,14,6,7,2,0,3,0,7,10,0,0
"Covington, Robert",3,33.7,7300,min,hou,home, 103-91,38:48,13,6,3,2,2,3,2,4,7,3,4
"Morris, Markieff",4,28.9,6600,was,nyk,away, 110-107,23:58,18,7,1,1,0,2,1,7,13,3,4
"Nance, Larry",4,26.1,5300,cle,bkn,away, 99-97,15:33,9,8,1,1,1,0,1,3,5,2,2
"Knox, Kevin",4,25.8,4400,nyk,was,home, 107-110,27:58,8,9,4,1,0,2,0,3,11,2,4
"Ibaka, Serge",4,25,6000,tor,den,home, 103-106,31:21,15,5,2,0,1,2,1,6,9,2,2
"Hernangomez, Juan",3,24,5000,den,tor,away, 106-103,28:46,15,5,0,2,0,3,3,5,12,2,4
"Jerebko, Jonas",4,24,3800,gsw,atl,away, 128-111,23:46,12,5,2,0,1,0,2,4,4,2,2
"Miller, Darius",3,22.2,3500,nor,lac,home, 126-129,24:47,15,1,2,1,0,0,3,4,8,4,5
"Vonleh, Noah",4,21.1,5500,nyk,was,home, 107-110,31:29,11,8,1,0,1,4,1,5,10,0,0
"Prince, Taurean",3,20.7,5600,atl,gsw,home, 111-128,27:08,14,1,3,1,0,2,3,5,10,1,1
"Millsap, Paul",4,20.1,7200,den,tor,away, 106-103,29:32,6,8,3,1,0,3,0,2,9,2,2
"Osman, Cedi",3,19.9,5000,cle,bkn,away, 99-97,28:21,8,7,1,0,1,1,0,2,6,4,4
"Grant, Jerami",4,19.4,5500,okc,det,away, 110-83,24:16,15,2,0,0,1,1,2,5,6,3,4
"Tucker, P.J.",4,19.3,4400,hou,min,away, 91-103,36:46,3,9,1,1,1,2,1,1,7,0,0
"Kurucs, Rodions",4,18.8,3500,bkn,cle,home, 97-99,13:58,12,4,0,1,0,1,0,6,10,0,0
"Harrell, Montrezl",4,18.6,8300,lac,nor,away, 129-126,27:10,14,3,2,0,0,2,0,5,9,4,9
"Bembry, DeAndre",3,17.9,4500,atl,gsw,home, 111-128,19:49,11,2,1,1,0,0,1,4,6,2,3
"Ennis, James",3,17,3900,hou,min,away, 91-103,24:36,9,5,0,1,0,1,1,3,5,2,2
"Leuer, Jon",4,16.8,3500,det,okc,home, 83-110,8:31,12,4,0,0,0,0,0,4,7,4,4
"Davis, Ed",4,16,3700,bkn,cle,home, 97-99,15:36,2,10,0,0,1,1,0,1,3,0,0
"Hood, Rodney",3,15.4,5100,cle,bkn,away, 99-97,33:45,9,2,2,1,0,2,0,2,8,5,5
"Scott, Mike",4,14,3500,lac,nor,away, 129-126,16:32,2,5,2,1,0,0,0,1,1,0,0
"Patterson, Patrick",4,12.9,3500,okc,det,away, 110-83,18:37,4,2,1,1,1,1,0,2,4,0,1
"Saric, Dario",4,12.5,4500,min,hou,home, 103-91,20:55,12,0,1,0,0,1,3,4,8,1,1
"Robinson III, Glenn",3,11.7,3500,det,okc,home, 83-110,31:46,6,6,1,0,0,3,0,3,12,0,0
"Hollis-Jefferson, Rondae",4,11.5,6000,bkn,cle,home, 97-99,21:56,4,5,1,0,0,0,0,1,7,2,6
"Hezonja, Mario",3,10.9,3700,nyk,was,home, 107-110,19:53,9,2,1,0,0,2,1,2,7,4,4
"Moore, E'Twaun",3,10.5,4600,nor,lac,home, 126-129,20:01,6,0,1,1,0,0,0,3,7,0,0
"Johnson, Stanley",3,10.4,5000,det,okc,home, 83-110,14:20,9,2,0,0,0,1,1,4,10,0,0
"Lyles, Trey",4,10.4,3700,den,tor,away, 106-103,12:25,3,2,2,1,0,1,1,1,3,0,2
"Miles, C.J.",3,10,3500,tor,den,home, 103-106,16:29,8,0,0,1,0,1,2,3,8,0,0
"Hill, Solomon",3,9.9,3500,nor,lac,home, 126-129,29:08,6,2,1,0,0,0,2,2,5,0,0
"House, Danuel",3,9.5,3700,hou,min,away, 91-103,12:20,6,0,1,1,0,1,2,2,4,0,0
"Carter, Vince",3,8.2,3500,atl,gsw,home, 111-128,17:22,4,1,2,0,0,0,0,2,8,0,0
"Johnson, Wesley",3,8.1,3500,nor,lac,home, 126-129,17:00,0,3,1,0,1,0,0,0,2,0,0
"Dudley, Jared",3,6.9,3500,bkn,cle,home, 97-99,17:47,3,2,1,0,0,0,0,1,3,1,2
"Green, Gerald",3,6.7,3500,hou,min,away, 91-103,10:47,5,1,1,0,0,1,1,2,5,0,0
"Carroll, DeMarre",3,6.6,4400,bkn,cle,home, 97-99,22:56,4,3,0,0,0,1,0,1,7,2,2
"Anunoby, OG",3,6.2,3600,tor,den,home, 103-106,11:32,6,1,0,0,0,1,2,2,5,0,0
"Spellman, Omari",4,4.5,3800,atl,gsw,home, 111-128,7:41,0,0,1,1,0,0,0,0,1,0,0
"Harris, Gary",3,4.2,6400,den,tor,away, 106-103,8:58,3,1,0,0,0,0,0,1,3,1,2
"Green, Jeff",3,3.9,4100,was,nyk,away, 110-107,15:12,0,2,1,0,0,0,0,0,1,0,1
"Derrickson, Marcus",4,3.2,3500,gsw,atl,away, 128-111,4:12,3,1,0,0,0,1,1,1,3,0,0
"Clark, Gary",3,0,3500,hou,min,away, 91-103,DNP,0,0,0,0,0,0,0,0,0,0,0
"Musa, Dzanan",3,0,3500,bkn,cle,home, 97-99,DNP,0,0,0,0,0,0,0,0,0,0,0
"Tolliver, Anthony",4,0,3500,min,hou,home, 103-91,DNP,0,0,0,0,0,0,0,0,0,0,0
"Kornet, Luke",4,0,3500,nyk,was,home, 107-110,DNP,0,0,0,0,0,0,0,0,0,0,0
"Harris, Joe",3,0,4500,bkn,cle,home, 97-99,DNP,0,0,0,0,0,0,0,0,0,0,0
"Zizic, Ante",4,0,3500,cle,bkn,away, 99-97,DNP,0,0,0,0,0,0,0,0,0,0,0
"Chriss, Marquese",4,0,3500,hou,min,away, 91-103,DNP,0,0,0,0,0,0,0,0,0,0,0
"Nunnally, James",3,0,3500,min,hou,home, 103-91,DNP,0,0,0,0,0,0,0,0,0,0,0
"White, Okaro",3,0,3500,was,nyk,away, 110-107,DNP,0,0,0,0,0,0,0,0,0,0,0
"Mirotic, Nikola",3,0,8000,nor,lac,home, 126-129,DNP,0,0,0,0,0,0,0,0,0,0,0
"Brown Jr., Troy",3,0,3500,was,nyk,away, 110-107,DNP,0,0,0,0,0,0,0,0,0,0,0
"Diallo, Cheick",4,0,3500,nor,lac,home, 126-129,DNP,0,0,0,0,0,0,0,0,0,0,0
"Faried, Kenneth",4,0,3500,bkn,cle,home, 97-99,DNP,0,0,0,0,0,0,0,0,0,0,0
"Smith, Jason",4,0,3500,was,nyk,away, 110-107,DNP,0,0,0,0,0,0,0,0,0,0,0
"Deng, Luol",3,0,3500,min,hou,home, 103-91,DNP,0,0,0,0,0,0,0,0,0,0,0
"Lydon, Tyler",3,0,3500,den,tor,away, 106-103,DNP,0,0,0,0,0,0,0,0,0,0,0
"Frye, Channing",4,0,3500,cle,bkn,away, 99-97,DNP,0,0,0,0,0,0,0,0,0,0,0
"Hartenstein, Isaiah",4,0,3500,hou,min,away, 91-103,DNP,0,0,0,0,0,0,0,0,0,0,0
"Robinson, Devin",3,0,3500,was,nyk,away, 110-107,NA,0,0,0,0,0,0,0,0,0,0,0
"Williams, Kenrich",4,0,3500,nor,lac,home, 126-129,NA,0,0,0,0,0,0,0,0,0,0,0
"Mbah a Moute, Luc",4,0,3600,lac,nor,away, 129-126,NA,0,0,0,0,0,0,0,0,0,0,0
