Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Bledsoe, Eric",1,54.6,8000,mil,den,home, 123-134,36:57,27,3,8,5,0,3,3,9,14,6,6
"Murray, Jamal",1,46.5,6300,den,mil,away, 134-123,35:55,26,5,5,3,0,2,5,9,12,3,5
"Caldwell-Pope, Kentavious",2,44.2,5700,lal,min,away, 111-119,40:41,17,11,6,2,0,1,3,6,9,2,3
"Barton, Will",2,36.9,7700,den,mil,away, 134-123,39:30,19,7,5,1,0,1,4,5,13,5,5
"Teague, Jeff",1,32.6,6700,min,lal,home, 119-111,34:50,20,3,6,0,1,3,2,6,9,6,7
"Harris, Gary",2,31.2,6000,den,mil,away, 134-123,39:27,28,1,2,1,0,4,5,10,18,3,5
"Middleton, Khris",2,30.4,7900,mil,den,home, 123-134,38:03,17,7,0,2,1,4,1,7,17,2,3
"Crawford, Jamal",2,18.5,3600,min,lal,home, 119-111,22:01,15,0,3,0,0,1,2,6,11,1,1
"Jones, Tyus",1,18.2,3500,min,lal,home, 119-111,13:10,8,1,2,2,0,0,2,3,4,0,0
"Hart, Josh",2,15.8,6000,lal,min,away, 111-119,31:19,8,4,0,1,0,0,0,4,10,0,0
"Snell, Tony",2,14.2,3500,mil,den,home, 123-134,33:42,10,1,0,1,0,0,2,4,11,0,0
"Thomas, Isaiah",1,13.7,7300,lal,min,away, 111-119,24:52,7,1,5,0,1,5,0,3,15,1,1
"Harris, Devin",2,13.2,3800,den,mil,away, 134-123,19:08,6,1,4,0,0,0,2,2,6,0,0
"Wiggins, Andrew",2,12.8,6300,min,lal,home, 119-111,32:42,8,4,0,0,0,0,0,4,11,0,0
"Brown, Sterling",2,10.5,3500,mil,den,home, 123-134,13:09,3,5,1,0,0,0,1,1,4,0,0
"Terry, Jason",2,1.5,3500,mil,den,home, 123-134,9:14,0,0,1,0,0,0,0,0,2,0,0
"Munford, Xavier",2,0,3500,mil,den,home, 123-134,00:36,0,0,0,0,0,0,0,0,0,0,0
"Beasley, Malik",2,0,3500,den,mil,away, 134-123,5:14,0,0,0,0,0,0,0,0,1,0,0
"Brooks, Aaron",1,0,3500,min,lal,home, 119-111,DNP,0,0,0,0,0,0,0,0,0,0,0
"Ennis, Tyler",1,0,3500,lal,min,away, 111-119,DNP,0,0,0,0,0,0,0,0,0,0,0
"Payton, Gary",1,0,3500,lal,min,away, 111-119,DNP,0,0,0,0,0,0,0,0,0,0,0
