Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Paul, Chris",1,46.7,10400,hou,min,home, 116-98,35:27,19,6,9,3,0,2,4,6,12,3,4
"Lillard, Damian",1,44,9400,por,ind,home, 100-86,39:54,26,5,8,0,1,3,2,8,21,8,8
"Gordon, Eric",2,42.1,6800,hou,min,home, 116-98,35:14,30,3,3,1,1,2,7,11,19,1,1
"Payton, Elfrid",1,41.8,6700,orl,cle,away, 103-104,30:28,19,4,8,2,1,3,1,9,17,0,0
"Oladipo, Victor",2,39.9,9300,ind,por,away, 86-100,35:45,23,7,3,0,2,2,1,9,25,4,5
"Thomas, Isaiah",1,34.6,5700,cle,orl,home, 104-103,29:58,21,3,4,2,0,2,3,6,15,6,7
"Harden, James",2,32.9,10500,hou,min,home, 116-98,25:51,10,2,7,2,2,2,1,3,15,3,3
"Napier, Shabazz",1,30.8,4400,por,ind,home, 100-86,28:54,13,4,2,2,2,2,2,4,12,3,3
"Wiggins, Andrew",2,30.5,6200,min,hou,away, 98-116,33:39,16,5,3,1,1,2,3,5,12,3,4
"Collison, Darren",1,30.5,5300,ind,por,away, 86-100,35:43,23,0,3,1,0,0,5,9,14,0,0
"Fournier, Evan",2,29.5,5700,orl,cle,away, 103-104,32:31,17,5,3,1,0,1,1,6,15,4,5
"McCollum, C.J.",2,25.6,8300,por,ind,home, 100-86,36:01,16,3,2,1,0,0,4,6,18,0,0
"McConnell, T.J.",1,25.4,5100,phi,bos,away, 89-80,25:32,15,2,2,3,0,4,2,5,8,3,4
"Larkin, Shane",1,18.1,3500,bos,phi,home, 80-89,23:09,8,3,1,2,0,1,0,3,6,2,2
"Smart, Marcus",2,16.5,5700,bos,phi,home, 80-89,34:00,13,5,1,0,0,4,1,6,11,0,0
"Jones, Tyus",1,16.2,3500,min,hou,away, 98-116,15:32,13,1,0,1,0,1,3,5,8,0,0
"Mack, Shelvin",1,15.6,3500,orl,cle,away, 103-104,11:52,10,3,0,0,1,1,0,5,5,0,0
"Rose, Derrick",1,15.1,4400,cle,orl,home, 104-103,13:13,9,3,1,0,1,2,0,3,6,3,4
"Wade, Dwyane",2,13.7,5200,cle,orl,home, 104-103,18:02,11,1,1,0,1,3,1,5,11,0,0
"Teague, Jeff",1,13.5,6800,min,hou,away, 98-116,32:28,6,5,3,0,0,3,0,3,8,0,1
"Smith, J.R.",2,11.9,3600,cle,orl,home, 104-103,29:55,6,2,3,0,0,1,2,2,7,0,0
"Crawford, Jamal",2,10.5,3500,min,hou,away, 98-116,18:22,0,0,5,1,0,0,0,0,6,0,0
"Rozier, Terry",1,9.2,4000,bos,phi,home, 80-89,20:21,4,1,2,1,0,2,0,2,7,0,0
"Bayless, Jerryd",1,8.4,3500,phi,bos,away, 89-80,24:59,4,2,2,0,0,1,0,2,5,0,0
"Korver, Kyle",2,8.2,3500,cle,orl,home, 104-103,16:46,3,1,4,0,0,2,1,1,2,0,0
"Augustin, D.J.",1,7.7,4200,orl,cle,away, 103-104,17:32,1,1,3,1,0,2,0,0,3,1,2
"Joseph, Cory",1,7.4,4300,ind,por,away, 86-100,26:04,2,2,2,0,0,0,0,1,4,0,2
"Connaughton, Pat",2,4.7,3500,por,ind,home, 100-86,13:51,2,1,1,0,0,0,0,1,5,0,0
"Luwawu, Timothe",2,3,3500,phi,bos,away, 89-80,3:35,0,0,0,0,1,0,0,0,3,0,0
"Young, Joseph",1,2.2,3500,ind,por,away, 86-100,9:49,2,1,0,0,0,1,0,1,2,0,0
"Brooks, Aaron",1,0,3500,min,hou,away, 98-116,DNP,0,0,0,0,0,0,0,0,0,0,0
"Afflalo, Arron",2,0,3500,orl,cle,away, 103-104,DNP,0,0,0,0,0,0,0,0,0,0,0
"Fultz, Markelle",1,0,3500,phi,bos,away, 89-80,DNP,0,0,0,0,0,0,0,0,0,0,0
"Young, James",2,0,3500,phi,bos,away, 89-80,DNP,0,0,0,0,0,0,0,0,0,0,0
"Calderon, Jose",1,0,3500,cle,orl,home, 104-103,DNP,0,0,0,0,0,0,0,0,0,0,0
"Allen, Kadeem",1,0,3800,bos,phi,home, 80-89,DNP,0,0,0,0,0,0,0,0,0,0,0
"Irving, Kyrie",1,0,8200,bos,phi,home, 80-89,NA,0,0,0,0,0,0,0,0,0,0,0
"Korkmaz, Furkan",2,0,3500,phi,bos,away, 89-80,NA,0,0,0,0,0,0,0,0,0,0,0
"Baldwin, Wade",1,0,3500,por,ind,home, 100-86,NA,0,0,0,0,0,0,0,0,0,0,0
"Wilcox, C.J.",2,0,3500,por,ind,home, 100-86,NA,0,0,0,0,0,0,0,0,0,0,0
"Perrantes, London",1,0,3500,cle,orl,home, 104-103,NA,0,0,0,0,0,0,0,0,0,0,0
"Shumpert, Iman",2,0,3600,cle,orl,home, 104-103,NA,0,0,0,0,0,0,0,0,0,0,0
"Redick, J.J.",2,0,5500,phi,bos,away, 89-80,NA,0,0,0,0,0,0,0,0,0,0,0
"Jackson, Demetrius",1,0,3500,phi,bos,away, 89-80,NA,0,0,0,0,0,0,0,0,0,0,0
"Bird, Jabari",2,0,3500,bos,phi,home, 80-89,NA,0,0,0,0,0,0,0,0,0,0,0
