Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Irving, Kyrie",1,70.9,8500,bos,tor,home, 123-116,38:33,43,2,11,3,1,3,3,18,26,4,6
"Middleton, Khris",2,51,7500,mil,chi,home, 123-104,33:07,23,10,8,2,0,2,2,9,15,3,3
"Dinwiddie, Spencer",1,49.8,6000,bkn,was,away, 115-104,31:18,25,4,8,3,0,1,3,8,13,6,9
"Bledsoe, Eric",1,47.8,7100,mil,chi,home, 123-104,30:00,25,4,6,3,1,3,3,10,13,2,3
"Mitchell, Donovan",2,47.4,7800,uta,phi,away, 107-113,33:47,31,2,0,4,1,1,1,13,35,4,7
"Holiday, Jrue",2,45.8,8800,nor,nyk,home, 129-124,35:53,24,4,10,1,1,4,3,9,18,3,3
"Hardaway Jr., Tim",2,45.6,7000,nyk,nor,away, 124-129,38:05,30,8,2,2,0,3,4,9,23,8,10
"Butler, Jimmy",2,45.1,8300,phi,uta,home, 113-107,37:30,28,3,7,2,0,3,2,12,15,2,5
"Fox, De'Aaron",1,42.8,8100,sac,mem,away, 104-112,36:06,23,4,10,2,0,6,1,8,17,6,8
"Wiggins, Andrew",2,42,6900,min,por,home, 112-96,37:12,23,5,4,2,1,2,3,9,21,2,2
"Russell, D'Angelo",2,37.6,7200,bkn,was,away, 115-104,29:47,23,3,6,2,0,4,1,8,16,6,8
"Holiday, Justin",2,37.6,5300,chi,mil,away, 104-123,29:12,20,3,4,3,0,1,6,7,12,0,0
"Mudiay, Emmanuel",1,37.2,4000,nyk,nor,away, 124-129,22:49,19,6,0,2,2,1,2,8,12,1,2
"Simmons, Ben",1,34.6,9100,phi,uta,home, 113-107,35:59,10,8,8,1,1,3,0,4,9,2,5
"Teague, Jeff",1,33.9,6900,min,por,home, 112-96,37:12,13,2,7,2,1,1,2,5,10,1,2
"Rose, Derrick",1,32.4,7200,min,por,home, 112-96,33:57,17,7,6,0,0,2,0,7,13,3,4
"Beal, Bradley",2,32.2,8800,was,bkn,home, 104-115,38:04,20,6,2,0,1,1,1,8,19,3,4
"Temple, Garrett",2,32,4600,mem,sac,home, 112-104,28:57,14,5,2,3,0,0,3,5,6,1,1
"Burke, Trey",1,31.7,3600,nyk,nor,away, 124-129,25:45,24,1,1,1,1,1,1,10,13,3,5
"Hield, Buddy",2,31.3,6600,sac,mem,away, 104-112,27:32,16,4,3,2,1,3,2,6,12,2,2
"Wall, John",1,30.7,10200,was,bkn,home, 104-115,37:55,16,1,7,1,1,3,1,6,19,3,4
"Joseph, Cory",1,29.9,3900,ind,mia,home, 99-91,30:04,12,2,5,3,0,1,2,5,8,0,0
"LaVine, Zach",2,29,8400,chi,mil,away, 104-123,33:49,15,5,4,1,1,4,1,6,20,2,3
"Lowry, Kyle",1,28.9,8000,tor,bos,away, 116-123,42:35,14,2,7,2,0,4,1,3,12,7,8
"Conley, Mike",1,27.6,8300,mem,sac,home, 112-104,34:28,19,3,6,0,0,4,1,7,16,4,8
"Johnson, Tyler",1,27,4700,mia,ind,away, 91-99,29:39,10,5,4,1,1,1,2,3,11,2,2
"Mack, Shelvin",1,26.4,4800,mem,sac,home, 112-104,27:14,9,2,8,2,0,3,2,3,8,1,1
"Lillard, Damian",1,25.7,9400,por,min,away, 96-112,36:35,16,6,5,0,0,5,1,5,18,5,6
"Green, Danny",2,23,4200,tor,bos,away, 116-123,30:07,11,5,0,1,1,0,3,4,10,0,0
"Trier, Allonzo",2,22.9,4500,nyk,nor,away, 124-129,32:18,11,2,5,0,1,1,1,4,11,2,2
"Rubio, Ricky",1,22.6,6400,uta,phi,away, 107-113,31:23,13,3,4,1,0,3,1,4,8,4,9
"Brogdon, Malcolm",2,22.3,5400,mil,chi,home, 123-104,28:37,13,4,3,0,0,0,3,5,12,0,0
"McCollum, C.J.",2,22.2,6700,por,min,away, 96-112,30:40,18,1,2,1,0,3,1,8,16,1,2
"Wright, Delon",1,21.4,3600,tor,bos,away, 116-123,25:31,7,2,2,2,1,0,1,3,7,0,0
"Oladipo, Victor",2,21.3,9900,ind,mia,home, 99-91,29:31,8,4,5,0,1,2,2,3,12,0,0
"Blakeney, Antonio",2,20.9,3500,chi,mil,away, 104-123,20:45,18,2,1,0,0,1,2,8,14,0,0
"McGruder, Rodney",2,20.5,4600,mia,ind,away, 91-99,31:29,11,5,1,1,0,1,1,5,11,0,0
"Redick, J.J.",2,19.9,5500,phi,uta,home, 113-107,33:43,16,2,1,1,0,3,1,5,9,5,7
"Shumpert, Iman",2,19.5,3900,sac,mem,away, 104-112,31:29,12,5,1,0,0,0,3,4,9,1,1
"Connaughton, Pat",2,19.4,4300,mil,chi,home, 123-104,22:46,2,7,4,1,0,0,0,1,4,0,0
"Bogdanovic, Bogdan",2,18.4,4400,sac,mem,away, 104-112,23:50,12,2,2,1,0,2,2,5,10,0,0
"Ellington, Wayne",2,17.7,3800,mia,ind,away, 91-99,17:33,9,1,1,2,0,0,3,3,10,0,0
"Snell, Tony",2,17.4,3500,mil,chi,home, 123-104,17:01,11,2,0,2,0,2,1,5,7,0,0
"Napier, Shabazz",1,17.3,3700,bkn,was,away, 115-104,18:20,8,4,1,0,1,0,0,2,7,4,5
"Collison, Darren",1,17,5000,ind,mia,home, 99-91,24:15,4,0,2,4,0,2,1,1,7,1,2
"Selden, Wayne",2,16,3500,mem,sac,home, 112-104,29:44,10,0,2,0,1,0,0,5,12,0,0
"Harrison, Shaquille",1,14.9,4100,chi,mil,away, 104-123,18:47,5,7,1,0,0,0,0,2,5,1,2
"Dragic, Goran",1,13.7,6300,mia,ind,away, 91-99,33:40,8,1,3,1,0,3,0,3,8,2,4
"Dotson, Damyean",2,13.4,3900,nyk,nor,away, 124-129,18:32,6,2,0,2,0,1,0,3,8,0,0
"Exum, Dante",1,13.4,3500,uta,phi,away, 107-113,18:18,7,2,4,0,0,2,0,3,7,1,2
"Arcidiacono, Ryan",1,12.9,4400,chi,mil,away, 104-123,29:13,3,2,3,1,0,0,1,1,6,0,0
"Brown, Jaylen",2,12.8,4900,bos,tor,home, 123-116,25:20,7,4,0,0,1,2,1,3,11,0,0
"Simons, Anfernee",2,12.1,3500,por,min,away, 96-112,13:25,7,3,1,0,0,0,0,3,7,1,2
"Brooks, MarShon",2,12,3700,mem,sac,home, 112-104,13:47,6,0,2,0,1,0,1,2,8,1,1
"Fultz, Markelle",2,11.6,3900,phi,uta,home, 113-107,14:27,6,3,2,0,0,1,0,2,5,2,4
"Jones, Tyus",1,11.2,3500,min,por,home, 112-96,11:01,4,1,2,1,0,0,0,2,2,0,0
"Stauskas, Nik",2,9.9,3500,por,min,away, 96-112,15:23,8,2,1,0,0,2,0,4,5,0,0
"Satoransky, Tomas",1,9.7,3600,was,bkn,home, 104-115,11:57,4,1,1,0,1,0,0,2,3,0,0
"Clark, Ian",2,9.7,3500,nor,nyk,home, 129-124,14:48,4,1,3,0,0,0,0,1,8,2,2
"Ntilikina, Frank",1,9.4,3700,nyk,nor,away, 124-129,14:48,4,2,2,0,0,0,0,2,6,0,0
"Trent Jr., Gary",2,9.2,3500,por,min,away, 96-112,5:44,8,1,0,0,0,0,2,3,5,0,0
"Smart, Marcus",2,8.5,4200,bos,tor,home, 123-116,18:38,5,5,1,0,0,4,0,2,5,1,1
"Crabbe, Allen",2,8.4,4200,bkn,was,away, 115-104,20:23,6,2,0,0,0,0,1,2,8,1,1
"Burks, Alec",2,8.2,3500,uta,phi,away, 107-113,11:26,4,1,2,0,0,0,0,1,2,2,3
"Rozier, Terry",1,8.1,4200,bos,tor,home, 123-116,19:50,4,3,1,0,0,1,0,2,6,0,0
"Shamet, Landry",1,7.7,3500,phi,uta,home, 113-107,14:17,6,1,1,0,0,1,2,2,4,0,0
"Korkmaz, Furkan",2,7.1,3700,phi,uta,home, 113-107,10:30,2,3,1,0,0,0,0,1,1,0,0
"VanVleet, Fred",1,6.2,4300,tor,bos,away, 116-123,22:07,0,1,2,1,0,1,0,0,6,0,0
"Payne, Cameron",1,5,3800,chi,mil,away, 104-123,3:29,2,0,0,1,0,0,0,0,0,2,2
"Baldwin, Wade",1,4.7,3500,por,min,away, 96-112,5:44,2,1,1,0,0,0,0,1,2,0,0
"Jackson, Frank",1,4.2,3500,nor,nyk,home, 129-124,11:38,6,1,0,0,0,3,1,2,3,1,2
"Rivers, Austin",2,3.6,3700,was,bkn,home, 104-115,13:24,0,3,0,0,0,0,0,0,3,0,0
"Payton, Elfrid",1,3.2,6900,nor,nyk,home, 129-124,8:07,0,1,0,1,0,1,0,0,3,0,0
"Mason III, Frank",2,2.7,3700,sac,mem,away, 104-112,12:05,3,1,1,0,0,3,0,1,3,1,2
"Dellavedova, Matthew",1,2.7,3500,mil,chi,home, 123-104,3:29,0,1,1,0,0,0,0,0,0,0,0
"Brown, Sterling",2,1.5,3500,mil,chi,home, 123-104,10:14,0,0,1,0,0,0,0,0,1,0,0
"Morris, Jaylen",2,0.2,3500,mil,chi,home, 123-104,3:29,0,1,0,0,0,1,0,0,1,0,0
"Okogie, Josh",2,0,4500,min,por,home, 112-96,00:38,0,0,0,0,0,0,0,0,1,0,0
"Baker, Ron",2,0,3500,nyk,nor,away, 124-129,DNP,0,0,0,0,0,0,0,0,0,0,0
"Frazier, Tim",1,0,3500,nor,nyk,home, 129-124,DNP,0,0,0,0,0,0,0,0,0,0,0
"Robinson, Duncan",2,0,3500,mia,ind,away, 91-99,DNP,0,0,0,0,0,0,0,0,0,0,0
"Brown, Lorenzo",1,0,3500,tor,bos,away, 116-123,DNP,0,0,0,0,0,0,0,0,0,0,0
"Richardson, Malachi",2,0,3500,tor,bos,away, 116-123,DNP,0,0,0,0,0,0,0,0,0,0,0
"Allen, Grayson",2,0,3500,uta,phi,away, 107-113,DNP,0,0,0,0,0,0,0,0,0,0,0
"Carter, Jevon",1,0,3500,mem,sac,home, 112-104,DNP,0,0,0,0,0,0,0,0,0,0,0
"Holiday, Aaron",1,0,3500,ind,mia,home, 99-91,DNP,0,0,0,0,0,0,0,0,0,0,0
"Wanamaker, Brad",1,0,3500,bos,tor,home, 123-116,DNP,0,0,0,0,0,0,0,0,0,0,0
"McConnell, T.J.",1,0,3700,phi,uta,home, 113-107,DNP,0,0,0,0,0,0,0,0,0,0,0
"Loyd, Jordan",1,0,3500,tor,bos,away, 116-123,DNP,0,0,0,0,0,0,0,0,0,0,0
