Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Williams, Louis",2,65.9,7300,lac,okc,home, 118-110,34:06,40,7,5,4,0,2,4,13,24,10,15
"Thompson, Klay",2,56.6,7400,gsw,den,home, 122-105,35:24,39,3,4,2,1,1,9,13,22,4,5
"Harden, James",2,54.5,12000,hou,phi,home, 107-91,32:12,31,10,7,2,0,5,3,11,22,6,7
"Westbrook, Russell",1,54.1,11700,okc,lac,away, 110-118,31:58,32,8,7,0,1,1,2,12,23,6,8
"Conley, Mike",1,51.1,8400,mem,uta,home, 114-104,32:21,28,3,11,2,0,3,3,11,18,3,3
"Lamb, Jeremy",2,51,6600,cha,was,home, 112-111,31:01,19,10,4,2,3,1,3,4,10,8,8
"Mitchell, Donovan",2,50.3,8900,uta,mem,away, 104-114,38:36,38,4,5,0,1,3,5,12,24,9,12
"Lowry, Kyle",1,49.2,8400,tor,nor,away, 127-104,34:27,13,11,12,2,0,1,3,4,12,2,2
"Beal, Bradley",2,45.3,10500,was,cha,away, 111-112,41:10,15,4,7,5,1,3,1,4,21,6,6
"Simmons, Ben",1,42.8,10600,phi,hou,away, 91-107,33:31,15,9,10,2,1,7,0,6,15,3,3
"Doncic, Luka",2,41.1,9800,dal,orl,away, 106-111,32:39,24,8,5,1,0,3,3,9,20,3,5
"Walker, Kemba",1,37.8,9000,cha,was,home, 112-111,36:08,18,4,6,2,1,3,1,6,19,5,6
"Butler, Jimmy",2,37.3,8200,phi,hou,away, 91-107,33:32,19,9,3,0,2,3,0,8,18,3,4
"LaVine, Zach",2,35.2,8500,chi,det,home, 104-112,38:18,24,6,2,1,1,5,1,9,18,5,10
"Satoransky, Tomas",1,33.8,6200,was,cha,away, 111-112,36:32,11,9,6,0,2,3,1,4,7,2,2
"Brunson, Jalen",1,31.9,4700,dal,orl,away, 106-111,30:29,18,2,9,0,0,2,1,8,11,1,1
"Ross, Terrence",2,31.6,5000,orl,dal,home, 111-106,27:59,22,3,2,1,0,0,6,8,16,0,0
"Morris, Monte",2,31,3500,den,gsw,away, 105-122,28:34,17,0,6,2,0,1,1,5,8,6,7
"Payton, Elfrid",1,30.2,6300,nor,tor,home, 104-127,28:46,13,6,6,1,0,2,3,5,9,0,0
"Knight, Brandon",1,29.4,3500,cle,mia,away, 110-126,25:33,15,2,6,1,0,0,3,6,11,0,0
"Sexton, Collin",1,29,5000,cle,mia,away, 110-126,34:42,27,0,6,0,0,7,3,11,17,2,2
"Wade, Dwyane",2,26.9,6200,mia,cle,home, 126-110,19:49,12,2,5,1,1,1,0,5,7,2,4
"Dunn, Kris",1,26.9,5800,chi,det,home, 104-112,28:23,7,7,3,2,1,2,1,3,6,0,0
"Smith, Ishmael",1,26.7,4700,det,chi,away, 112-104,24:47,7,6,7,0,2,4,0,3,7,1,2
"Jackson, Reggie",1,26.2,5500,det,chi,away, 112-104,22:47,21,1,2,1,0,2,1,10,18,0,0
