Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Leonard, Kawhi",-1,61.9,N/A,tor,mil,away, 105-99,40:17,35,7,9,2,0,1,5,11,25,8,9
"Siakam, Pascal",-1,43.6,N/A,tor,mil,away, 105-99,36:08,14,13,2,1,3,1,2,5,15,2,2
"Antetokounmpo, Giannis",-1,41.2,N/A,mil,tor,home, 99-105,39:15,24,6,6,0,1,2,2,9,18,4,9
"Brogdon, Malcolm",-1,40.2,N/A,mil,tor,home, 99-105,33:59,18,11,6,1,0,3,2,8,17,0,0
"Lowry, Kyle",-1,35.4,N/A,tor,mil,away, 105-99,38:51,17,7,6,1,0,2,2,4,11,7,8
"Middleton, Khris",-1,31,N/A,mil,tor,home, 99-105,36:05,6,10,10,0,0,2,0,2,9,2,2
"Lopez, Brook",-1,28.6,N/A,mil,tor,home, 99-105,32:10,16,8,0,1,0,0,1,7,12,1,1
"VanVleet, Fred",-1,26.7,N/A,tor,mil,away, 105-99,37:10,21,1,1,1,0,0,7,7,13,0,0
"Bledsoe, Eric",-1,23.8,N/A,mil,tor,home, 99-105,33:33,20,4,2,0,0,4,2,6,14,6,6
"Hill, George",-1,23.1,N/A,mil,tor,home, 99-105,28:51,12,8,1,0,0,0,2,5,8,0,0
"Powell, Norman",-1,13.3,N/A,tor,mil,away, 105-99,23:50,8,4,1,0,0,1,1,2,7,3,6
"Gasol, Marc",-1,13.2,N/A,tor,mil,away, 105-99,28:58,4,6,0,0,1,1,1,1,6,1,2
"Ibaka, Serge",-1,13.2,N/A,tor,mil,away, 105-99,19:16,6,6,0,0,0,0,0,1,4,4,4
"Connaughton, Pat",-1,10.8,N/A,mil,tor,home, 99-105,12:20,3,4,0,0,1,0,1,1,1,0,0
"Green, Danny",-1,4.2,N/A,tor,mil,away, 105-99,15:30,0,1,0,1,0,0,0,0,3,0,0
"Mirotic, Nikola",-1,2.4,N/A,mil,tor,home, 99-105,9:14,0,2,0,0,0,0,0,0,4,0,0
"Ilyasova, Ersan",-1,1.5,N/A,mil,tor,home, 99-105,11:01,0,0,1,0,0,0,0,0,1,0,0
