Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Butler, Jimmy",2,55.3,9200,mia,atl,away, 106-97,35:11,5,9,11,6,3,4,0,2,10,1,2
"Bembry, DeAndre",2,44,4700,atl,mia,home, 97-106,28:19,18,10,8,2,0,4,0,8,12,2,6
"Holiday, Jrue",2,39.5,8800,nor,den,home, 122-107,31:51,19,5,7,2,0,2,5,7,17,0,0
"White, Derrick",1,37,4900,sas,lac,away, 97-103,24:50,20,5,2,1,2,1,3,6,11,5,6
"DeRozan, DeMar",2,36.4,7800,sas,lac,away, 97-103,35:06,29,7,2,1,0,7,0,13,21,3,4
"Nunn, Kendrick",1,33.4,5800,mia,atl,away, 106-97,33:04,28,2,0,2,0,3,4,10,15,4,4
"Murray, Dejounte",1,29.4,6900,sas,lac,away, 97-103,23:10,8,7,2,3,1,2,0,2,5,4,6
"Herro, Tyler",2,28.3,5700,mia,atl,away, 106-97,30:27,17,4,3,1,0,1,3,7,16,0,0
"Ball, Lonzo",1,27.6,7400,nor,den,home, 122-107,31:39,9,3,8,1,1,3,1,4,7,0,0
"Murray, Jamal",1,26.6,7100,den,nor,away, 107-122,26:17,14,3,6,1,0,3,1,6,14,1,1
"Jackson, Frank",1,26.6,3800,nor,den,home, 122-107,19:18,21,3,0,1,0,1,4,8,10,1,2
"Morris, Monte",1,21,3500,den,nor,away, 107-122,21:43,9,0,8,0,0,0,1,4,10,0,0
"Beverley, Patrick",1,20.3,5400,lac,sas,home, 103-97,32:21,8,4,5,0,0,0,1,3,7,1,2
"Williams, Louis",2,19.9,7400,lac,sas,home, 103-97,32:11,12,2,5,0,0,2,1,5,19,1,2
"Harris, Gary",2,17.4,5600,den,nor,away, 107-122,27:57,9,2,0,1,1,0,1,4,10,0,0
"Beasley, Malik",2,15.9,3600,den,nor,away, 107-122,27:34,11,2,1,1,0,2,3,4,13,0,0
"Wallace, Tyrone",1,15.6,4700,atl,mia,home, 97-106,19:28,12,3,2,0,0,3,0,6,10,0,0
"Redick, J.J.",2,15.4,4200,nor,den,home, 122-107,17:15,7,2,2,0,1,0,1,2,2,2,2
"Robinson, Duncan",2,14.6,3800,mia,atl,away, 106-97,26:53,12,3,0,0,0,1,2,5,10,0,0
"Huerter, Kevin",2,13.3,4000,atl,mia,home, 97-106,25:54,7,4,1,0,0,0,1,3,9,0,0
"Shamet, Landry",1,13,4600,lac,sas,home, 103-97,25:38,7,0,2,1,0,0,1,2,8,2,2
"Alexander-Walker, Nickeil",2,10.5,4000,nor,den,home, 122-107,12:20,0,5,3,0,0,0,0,0,5,0,0
"Mills, Patty",1,9.7,3800,sas,lac,away, 97-103,22:11,6,1,1,1,0,2,1,2,4,1,2
"Hart, Josh",2,9.5,5700,nor,den,home, 122-107,26:52,3,5,1,0,0,1,1,1,3,0,0
"Forbes, Bryn",2,8,4400,sas,lac,away, 97-103,24:56,9,0,0,0,0,1,2,3,8,1,1
"Dragic, Goran",1,6.7,6000,mia,atl,away, 106-97,19:24,4,1,3,0,0,3,0,1,5,2,2
"Belinelli, Marco",2,3.4,3500,sas,lac,away, 97-103,17:53,2,2,0,0,0,1,0,1,6,0,0
"Craig, Torrey",2,3.4,3700,den,nor,away, 107-122,19:35,2,2,0,0,0,1,0,1,4,0,0
"Walker, Lonnie",2,2.4,3500,sas,lac,away, 97-103,4:59,0,2,0,0,0,0,0,0,1,0,0
"McGruder, Rodney",2,0,3500,lac,sas,home, 103-97,7:19,0,0,0,0,0,0,0,0,0,0,0
"Goodwin, Brandon",1,0,3500,atl,mia,home, 97-106,DNP,0,0,0,0,0,0,0,0,0,0,0
"Mann, Terance",2,0,3500,lac,sas,home, 103-97,DNP,0,0,0,0,0,0,0,0,0,0,0
"Robinson, Jerome",1,0,3500,lac,sas,home, 103-97,DNP,0,0,0,0,0,0,0,0,0,0,0
"Macon, Daryl",1,0,3500,mia,atl,away, 106-97,NA,0,0,0,0,0,0,0,0,0,0,0
"Brown, Charlie",2,0,3500,atl,mia,home, 97-106,NA,0,0,0,0,0,0,0,0,0,0,0
"Waiters, Dion",2,0,4800,mia,atl,away, 106-97,NA,0,0,0,0,0,0,0,0,0,0,0
"Dozier, PJ",2,0,3500,den,nor,away, 107-122,NA,0,0,0,0,0,0,0,0,0,0,0
"Walton Jr., Derrick",1,0,3500,lac,sas,home, 103-97,NA,0,0,0,0,0,0,0,0,0,0,0
"Turner, Evan",2,0,4100,atl,mia,home, 97-106,NA,0,0,0,0,0,0,0,0,0,0,0
"Gray, Josh",1,0,3500,nor,den,home, 122-107,NA,0,0,0,0,0,0,0,0,0,0,0
"Young, Trae",1,0,9200,atl,mia,home, 97-106,NA,0,0,0,0,0,0,0,0,0,0,0
"Weatherspoon, Quinndary",2,0,3500,sas,lac,away, 97-103,NA,0,0,0,0,0,0,0,0,0,0,0
"Crabbe, Allen",2,0,3500,atl,mia,home, 97-106,NA,0,0,0,0,0,0,0,0,0,0,0
"Leonard, Kawhi",3,61.9,10300,lac,sas,home, 103-97,34:07,38,12,1,4,0,4,2,15,32,6,6
"Adebayo, Bam",4,38.7,8300,mia,atl,away, 106-97,35:44,12,6,7,1,2,0,1,4,5,3,7
"Parker, Jabari",4,34.6,4800,atl,mia,home, 97-106,25:28,23,8,2,0,0,1,2,8,13,5,8
"Ingram, Brandon",3,33.1,9000,nor,den,home, 122-107,35:34,25,3,5,0,0,3,2,7,12,9,11
"Collins, John",4,31.9,8700,atl,mia,home, 97-106,33:04,12,7,1,1,3,2,2,4,11,2,2
"Gay, Rudy",3,28.4,4600,sas,lac,away, 97-103,26:06,9,12,4,0,0,1,1,3,10,2,4
"Reddish, Cam",3,27.2,4400,atl,mia,home, 97-106,28:32,9,6,4,1,1,1,1,2,11,4,4
"Grant, Jerami",4,22,4300,den,nor,away, 107-122,25:28,14,5,0,0,1,1,0,7,10,0,0
"Porter, Michael",4,20.3,3700,den,nor,away, 107-122,20:52,15,4,1,0,0,1,1,5,8,4,6
"Melli, Nicolo",4,19.8,3600,nor,den,home, 122-107,18:31,7,4,2,1,1,1,1,2,5,2,2
"Aldridge, LaMarcus",4,18.5,8500,sas,lac,away, 97-103,35:38,5,5,3,0,2,3,0,2,8,1,2
"Patterson, Patrick",4,15.8,3600,lac,sas,home, 103-97,18:54,0,9,2,1,0,1,0,0,5,0,0
"Silva, Chris",4,14.9,3700,mia,atl,away, 106-97,11:47,6,2,1,1,1,1,0,3,5,0,0
"Harkless, Maurice",3,14.8,4100,lac,sas,home, 103-97,19:58,8,4,0,1,0,1,0,3,3,2,4
"Millsap, Paul",4,12.6,5700,den,nor,away, 107-122,15:11,10,3,0,0,0,1,0,3,8,4,4
"Green, JaMychal",4,12.6,3500,lac,sas,home, 103-97,21:38,0,8,0,1,0,0,0,0,3,0,0
"Hunter, De'Andre",3,12.1,4800,atl,mia,home, 97-106,28:23,4,3,1,1,1,3,0,1,9,2,2
"Lyles, Trey",4,8.8,3800,sas,lac,away, 97-103,12:49,4,4,0,0,0,0,0,2,2,0,0
"Hayes, Jaxson",4,6.4,3800,nor,den,home, 122-107,9:28,5,2,0,0,0,1,0,2,2,1,2
"Carter, Vince",3,3.2,3500,atl,mia,home, 97-106,16:28,2,1,0,0,0,0,0,1,5,0,0
"Vanderbilt, Jarred",3,2.7,3500,den,nor,away, 107-122,5:25,0,1,1,0,0,0,0,0,0,0,0
"Williams, Kenrich",3,1.5,4600,nor,den,home, 122-107,3:22,0,0,1,0,0,0,0,0,1,0,0
"Fernando, Bruno",4,1,3800,atl,mia,home, 97-106,3:51,1,0,0,0,0,0,0,0,0,1,2
"Hernangomez, Juan",3,0,3500,den,nor,away, 107-122,5:25,0,0,0,0,0,0,0,0,1,0,0
"Cancar, Vlatko",3,0,3500,den,nor,away, 107-122,1:58,0,0,0,0,0,0,0,0,0,0,0
"Johnson, James",4,0,4500,mia,atl,away, 106-97,DNP,0,0,0,0,0,0,0,0,0,0,0
"Moore, E'Twaun",3,0,3500,nor,den,home, 122-107,DNP,0,0,0,0,0,0,0,0,0,0,0
"Carroll, DeMarre",3,0,4000,sas,lac,away, 97-103,DNP,0,0,0,0,0,0,0,0,0,0,0
"Haslem, Udonis",4,0,3500,mia,atl,away, 106-97,DNP,0,0,0,0,0,0,0,0,0,0,0
"Winslow, Justise",3,0,7200,mia,atl,away, 106-97,DNP,0,0,0,0,0,0,0,0,0,0,0
"Kabengele, Mfiondu",3,0,3500,lac,sas,home, 103-97,DNP,0,0,0,0,0,0,0,0,0,0,0
"Coffey, Amir",4,0,3500,lac,sas,home, 103-97,NA,0,0,0,0,0,0,0,0,0,0,0
"Johnson, Keldon",3,0,3500,sas,lac,away, 97-103,NA,0,0,0,0,0,0,0,0,0,0,0
"Cheatham, Zylan",4,0,3500,nor,den,home, 122-107,NA,0,0,0,0,0,0,0,0,0,0,0
"Samanic, Luka",4,0,3500,sas,lac,away, 97-103,NA,0,0,0,0,0,0,0,0,0,0,0
"Jones, Derrick",3,0,3500,mia,atl,away, 106-97,NA,0,0,0,0,0,0,0,0,0,0,0
"Miller, Darius",3,0,3500,nor,den,home, 122-107,NA,0,0,0,0,0,0,0,0,0,0,0
"Motley, Johnathan",4,0,3500,lac,sas,home, 103-97,NA,0,0,0,0,0,0,0,0,0,0,0
"George, Paul",3,0,9600,lac,sas,home, 103-97,NA,0,0,0,0,0,0,0,0,0,0,0
"Barton, Will",3,0,5900,den,nor,away, 107-122,NA,0,0,0,0,0,0,0,0,0,0,0
"Okpala, KZ",3,0,3500,mia,atl,away, 106-97,NA,0,0,0,0,0,0,0,0,0,0,0
"Williamson, Zion",4,0,3500,nor,den,home, 122-107,NA,0,0,0,0,0,0,0,0,0,0,0
"Parsons, Chandler",3,0,3500,atl,mia,home, 97-106,NA,0,0,0,0,0,0,0,0,0,0,0
"Okafor, Jahlil",5,39.5,3600,nor,den,home, 122-107,33:50,26,5,1,2,1,3,0,8,13,10,13
"Leonard, Meyers",5,34.6,3700,mia,atl,away, 106-97,25:29,16,8,2,0,2,0,3,6,10,1,2
"Harrell, Montrezl",5,30.3,7200,lac,sas,home, 103-97,31:05,24,4,1,0,1,3,0,9,11,6,9
"Jokic, Nikola",5,30.2,10400,den,nor,away, 107-122,27:08,13,6,6,1,0,2,0,5,6,3,3
"Plumlee, Mason",5,22.9,3900,den,nor,away, 107-122,15:27,10,7,1,1,1,3,0,4,5,2,2
"Olynyk, Kelly",5,22.2,4400,mia,atl,away, 106-97,22:01,6,6,2,1,1,0,1,2,8,1,2
"Zubac, Ivica",5,12,4400,lac,sas,home, 103-97,16:49,6,5,0,0,0,0,0,2,3,2,2
"Poeltl, Jakob",5,10.1,4100,sas,lac,away, 97-103,12:22,5,3,1,0,0,0,0,2,4,1,2
"Len, Alex",5,9.3,5400,atl,mia,home, 97-106,14:10,5,4,1,0,0,2,1,2,5,0,0
"Jones, Damian",5,8.8,3500,atl,mia,home, 97-106,16:23,4,4,0,0,0,0,0,1,3,2,2
"Favors, Derrick",5,0,6000,nor,den,home, 122-107,DNP,0,0,0,0,0,0,0,0,0,0,0
"Metu, Chimezie",5,0,3500,sas,lac,away, 97-103,DNP,0,0,0,0,0,0,0,0,0,0,0
"Eubanks, Drew",5,0,3500,sas,lac,away, 97-103,NA,0,0,0,0,0,0,0,0,0,0,0
"Bol, Bol",5,0,3500,den,nor,away, 107-122,NA,0,0,0,0,0,0,0,0,0,0,0
