Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Lillard, Damian",1,68.6,10100,por,bkn,away, 134-133,43:52,42,3,12,2,0,1,8,13,22,8,9
"LeVert, Caris",2,60.7,8300,bkn,por,home, 133-134,32:48,37,6,9,2,1,6,1,16,29,4,4
"Hart, Josh",2,52.8,4000,nor,orl,away, 127-133,35:57,23,14,6,1,1,2,3,7,14,6,8
"Bogdanovic, Bogdan",2,52.7,6200,sac,lal,away, 136-122,26:59,27,6,9,2,0,1,5,11,23,0,0
"McCollum, C.J.",2,50.3,7400,por,bkn,away, 134-133,43:54,25,4,7,3,1,2,0,9,21,7,8
"Jackson, Frank",1,43.9,3700,nor,orl,away, 127-133,36:21,31,2,5,1,0,0,3,12,24,4,5
"Booker, Devin",2,42.9,8800,pho,dal,home, 128-102,31:32,27,7,5,0,0,0,0,11,20,5,5
"Hield, Buddy",2,41,4700,sac,lal,away, 136-122,26:20,28,5,2,2,0,2,8,10,17,0,0
"Mason III, Frank",1,39.8,3500,mil,mem,away, 106-119,25:54,18,4,8,1,1,1,3,7,13,1,2
"Brooks, Dillon",2,38.4,5700,mem,mil,home, 119-106,32:36,31,2,2,0,1,1,4,12,18,3,5
"Alexander-Walker, Nickeil",2,37.7,3500,nor,orl,away, 127-133,35:49,29,1,7,1,0,6,2,11,18,5,5
"Morant, Ja",1,36.6,7700,mem,mil,home, 119-106,34:05,12,13,10,0,0,6,0,5,17,2,2
"Augustin, D.J.",1,33.8,4100,orl,nor,home, 133-127,22:06,22,4,6,0,0,2,1,7,10,7,7
"Murray, Dejounte",1,33.3,6600,sas,uta,away, 112-118,36:16,12,14,7,0,0,6,0,5,14,2,2
"Temple, Garrett",2,33,4200,bkn,por,home, 133-134,36:54,15,10,4,0,0,0,3,4,10,4,4
"Smith, Ishmael",1,30.6,5700,was,bos,away, 96-90,30:33,11,3,8,1,2,5,0,5,13,1,2
"Horton-Tucker, Talen",2,30.3,3500,lal,sac,home, 122-136,34:01,14,4,3,3,0,2,2,6,15,0,0
"Rubio, Ricky",1,29.4,6500,pho,dal,home, 128-102,20:51,7,2,12,1,0,1,2,2,6,1,1
"Luwawu, Timothe",2,28.1,4000,bkn,por,home, 133-134,31:58,19,8,1,0,0,2,5,7,13,0,0
"Iwundu, Wes",2,26.8,4000,orl,nor,home, 133-127,26:55,15,4,6,0,0,2,2,4,5,5,7
"Trent Jr., Gary",2,26.7,4500,por,bkn,away, 134-133,36:40,16,1,1,2,1,1,4,6,13,0,0
"Walker, Lonnie",2,26.6,4500,sas,uta,away, 112-118,34:04,15,3,4,1,0,1,3,6,14,0,0
"Waters, Tremont",1,26.6,3500,bos,was,home, 90-96,29:39,7,3,4,5,0,5,1,2,14,2,2
"Doncic, Luka",2,26,10300,dal,pho,away, 102-128,13:14,18,5,0,1,0,1,1,5,9,7,7
"DiVincenzo, Donte",2,25.8,4600,mil,mem,away, 106-119,18:58,17,4,4,1,0,5,3,7,13,0,2
"Cook, Quinn",1,23.8,3600,lal,sac,home, 122-136,30:43,12,4,4,0,1,2,1,4,11,3,3
"Green, Javonte",2,23.8,3600,bos,was,home, 90-96,34:26,23,4,0,0,0,4,3,8,17,4,4
"Ferrell, Yogi",1,23.2,3800,sac,lal,away, 136-122,19:39,11,1,2,3,0,1,2,4,7,1,2
"Johnson, Tyler",1,23.2,4400,bkn,por,home, 133-134,24:26,16,1,2,1,0,0,2,7,13,0,0
"Payne, Cameron",1,23,4100,pho,dal,home, 128-102,29:12,15,5,2,0,0,1,3,5,8,2,3
"Fultz, Markelle",1,22.7,5300,orl,nor,home, 133-127,24:30,11,1,5,1,0,0,0,5,12,1,2
"Tucker, Rayjon",1,21.9,3700,uta,sas,home, 118-112,24:03,18,2,1,0,0,0,1,6,12,5,5
"Middleton, Khris",2,21.8,7000,mil,mem,away, 106-119,20:30,14,4,4,0,0,3,0,5,13,4,5
"Mitchell, Donovan",2,20.3,7800,uta,sas,home, 118-112,11:20,11,4,3,0,0,0,3,3,5,2,2
"Joseph, Cory",1,19.4,4300,sac,lal,away, 136-122,19:53,13,2,2,1,0,2,3,5,6,0,0
"Carter, Jevon",1,18.9,4300,pho,dal,home, 128-102,26:16,9,2,1,1,1,0,3,3,7,0,0
"Bledsoe, Eric",1,17.9,5800,mil,mem,away, 106-119,20:02,3,2,5,2,0,1,0,1,8,1,2
"Williams-Goss, Nigel",1,17.7,3500,uta,sas,home, 118-112,22:11,10,1,1,2,0,1,2,4,9,0,0
"Oni, Miye",2,17.4,3500,uta,sas,home, 118-112,25:49,10,2,2,1,0,1,2,4,8,0,0
"Barea, Jose",1,16.4,3800,dal,pho,away, 102-128,18:59,9,2,4,0,0,1,1,4,12,0,0
"Belinelli, Marco",2,16,3500,sas,uta,away, 112-118,29:43,16,0,0,0,0,0,3,6,11,1,2
"Brown, Sterling",2,16,3900,mil,mem,away, 106-119,19:26,5,5,2,1,0,1,1,1,6,2,2
"Edwards, Carsen",1,15.8,3500,bos,was,home, 90-96,23:39,8,4,0,1,0,0,1,3,11,1,3
"Langford, Romeo",2,15.8,3500,bos,was,home, 90-96,30:08,6,4,4,0,0,1,0,3,9,0,0
"Burke, Trey",1,14.7,4300,dal,pho,away, 102-128,18:39,7,1,3,1,0,1,1,3,8,0,0
"Wright, Delon",2,14.4,4500,dal,pho,away, 102-128,21:53,4,2,4,1,0,1,0,2,4,0,0
"Smith, J.R.",2,14.2,3500,lal,sac,home, 122-136,25:17,11,1,2,0,0,1,1,5,10,0,0
"Thornwell, Sindarius",2,13.9,3500,nor,orl,away, 127-133,19:24,9,2,1,0,1,2,1,3,6,2,4
"Green, Danny",2,13.4,3900,lal,sac,home, 122-136,13:33,2,2,2,2,0,0,0,1,4,0,0
"Wanamaker, Brad",1,13.2,4500,bos,was,home, 90-96,17:32,6,1,4,0,0,0,0,3,5,0,0
"Clarkson, Jordan",2,12.9,4400,uta,sas,home, 118-112,14:02,11,2,1,0,0,2,3,4,12,0,0
"Wright-Foreman, Justin",1,12.9,3500,uta,sas,home, 118-112,16:57,4,2,3,1,0,1,0,2,7,0,0
"Grant, Jerian",1,12.6,3500,was,bos,away, 96-90,17:09,6,3,2,0,0,0,0,1,6,4,4
"Cleveland, Antonius",2,11.7,3500,dal,pho,away, 102-128,13:12,4,1,1,0,2,1,0,2,3,0,1
"Robinson, Jerome",1,11.1,4600,was,bos,away, 96-90,27:18,10,3,1,0,0,4,2,4,10,0,0
"Martin, Jeremiah",1,11,3900,bkn,por,home, 133-134,9:24,2,0,2,2,0,0,0,1,2,0,0
"Curry, Seth",1,10.4,4000,dal,pho,away, 102-128,20:03,8,2,0,0,0,0,2,3,9,0,0
"Melton, De'Anthony",1,10.4,4400,mem,mil,home, 119-106,19:55,5,2,2,0,0,0,0,2,6,1,2
"Okobo, Elie",2,9.4,3600,pho,dal,home, 128-102,12:00,4,2,2,0,0,0,0,0,0,4,4
"Allen, Grayson",2,9.2,4000,mem,mil,home, 119-106,27:18,9,1,0,0,0,1,1,4,6,0,0
"James, Justin",2,7.9,3500,sac,lal,away, 136-122,9:32,4,2,1,0,0,0,0,2,4,0,0
"Jerome, Ty",2,7.9,3500,pho,dal,home, 128-102,5:17,4,2,1,0,0,0,1,1,3,1,2
"Reaves, Josh",2,6.4,3500,dal,pho,away, 102-128,13:12,4,2,0,0,0,0,0,1,4,2,2
"Connaughton, Pat",2,5.2,4300,mil,mem,away, 106-119,16:03,2,1,0,1,0,1,0,1,4,0,0
"Guy, Kyle",2,4.7,3500,sac,lal,away, 136-122,5:37,2,1,1,0,0,0,0,1,3,0,0
"Korver, Kyle",2,4.2,3700,mil,mem,away, 106-119,20:37,4,1,0,0,0,1,1,1,3,1,1
"Anderson, Justin",2,3.2,3500,bkn,por,home, 133-134,5:37,3,1,0,0,0,1,1,1,2,0,0
"Weatherspoon, Quinndary",2,2.2,3500,sas,uta,away, 112-118,3:17,1,1,0,0,0,0,0,0,0,1,2
"Simons, Anfernee",1,1.2,3500,por,bkn,away, 134-133,2:22,0,1,0,0,0,0,0,0,1,0,0
"Konchar, John",2,0,3500,mem,mil,home, 119-106,1:06,0,0,0,0,0,0,0,0,0,0,0
"Watanabe, Yuta",2,0,3500,mem,mil,home, 119-106,DNP,0,0,0,0,0,0,0,0,0,0,0
"White, Derrick",1,0,6900,sas,uta,away, 112-118,DNP,0,0,0,0,0,0,0,0,0,0,0
"Redick, J.J.",2,0,4800,nor,orl,away, 127-133,DNP,0,0,0,0,0,0,0,0,0,0,0
"Chiozza, Chris",1,0,4200,bkn,por,home, 133-134,DNP,0,0,0,0,0,0,0,0,0,0,0
"Guduric, Marko",2,0,3500,mem,mil,home, 119-106,DNP,0,0,0,0,0,0,0,0,0,0,0
"Ball, Lonzo",1,0,6700,nor,orl,away, 127-133,DNP,0,0,0,0,0,0,0,0,0,0,0
"DeRozan, DeMar",2,0,7800,sas,uta,away, 112-118,DNP,0,0,0,0,0,0,0,0,0,0,0
"Adams, Jaylen",1,0,3500,por,bkn,away, 134-133,DNP,0,0,0,0,0,0,0,0,0,0,0
"Mills, Patty",1,0,3600,sas,uta,away, 112-118,DNP,0,0,0,0,0,0,0,0,0,0,0
"Ross, Terrence",2,0,5200,orl,nor,home, 133-127,NA,0,0,0,0,0,0,0,0,0,0,0
"Holiday, Jrue",2,0,7400,nor,orl,away, 127-133,NA,0,0,0,0,0,0,0,0,0,0,0
"Lee, Courtney",2,0,3600,dal,pho,away, 102-128,NA,0,0,0,0,0,0,0,0,0,0,0
"Forbes, Bryn",2,0,3500,sas,uta,away, 112-118,NA,0,0,0,0,0,0,0,0,0,0,0
"Crawford, Jamal",2,0,3600,bkn,por,home, 133-134,NA,0,0,0,0,0,0,0,0,0,0,0
"Matthews, Wes",2,0,3500,mil,mem,away, 106-119,NA,0,0,0,0,0,0,0,0,0,0,0
"Caruso, Alex",1,0,3900,lal,sac,home, 122-136,NA,0,0,0,0,0,0,0,0,0,0,0
"Hill, George",1,0,4200,mil,mem,away, 106-119,NA,0,0,0,0,0,0,0,0,0,0,0
"Rondo, Rajon",1,0,3800,lal,sac,home, 122-136,NA,0,0,0,0,0,0,0,0,0,0,0
"Fox, De'Aaron",1,0,8500,sac,lal,away, 136-122,NA,0,0,0,0,0,0,0,0,0,0,0
"Smart, Marcus",2,0,5400,bos,was,home, 90-96,NA,0,0,0,0,0,0,0,0,0,0,0
"Mudiay, Emmanuel",1,0,3700,uta,sas,home, 118-112,NA,0,0,0,0,0,0,0,0,0,0,0
"Walker, Kemba",1,0,6000,bos,was,home, 90-96,NA,0,0,0,0,0,0,0,0,0,0,0
"Caldwell-Pope, Kentavious",2,0,3500,lal,sac,home, 122-136,NA,0,0,0,0,0,0,0,0,0,0,0
"Napier, Shabazz",1,0,4400,was,bos,away, 96-90,NA,0,0,0,0,0,0,0,0,0,0,0
"Lecque, Jalen",1,0,3500,pho,dal,home, 128-102,NA,0,0,0,0,0,0,0,0,0,0,0
"Conley, Mike",1,0,5800,uta,sas,home, 118-112,NA,0,0,0,0,0,0,0,0,0,0,0
"Carter-Williams, Michael",1,0,3700,orl,nor,home, 133-127,NA,0,0,0,0,0,0,0,0,0,0,0
