Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"George, Paul",2,44.5,7400,lac,lal,away, 101-103,34:26,30,5,3,3,0,5,6,11,17,2,4
"Mitchell, Donovan",2,43.5,7200,uta,nor,away, 106-104,35:36,20,5,5,3,1,2,2,6,14,6,7
"Holiday, Jrue",2,38,8300,nor,uta,home, 104-106,36:30,20,5,4,3,1,6,2,9,18,0,0
"Clarkson, Jordan",2,37.5,4300,uta,nor,away, 106-104,32:13,23,5,3,2,0,2,1,8,17,6,7
"Conley, Mike",1,31.2,5700,uta,nor,away, 106-104,33:57,20,1,4,1,1,2,2,7,16,4,4
"Redick, J.J.",2,27.3,4000,nor,uta,home, 104-106,26:05,21,4,3,0,0,3,3,7,15,4,4
"Ball, Lonzo",1,24.7,7900,nor,uta,home, 104-106,27:29,4,6,7,2,0,3,0,2,13,0,2
"Jackson, Reggie",1,19.2,3800,lac,lal,away, 101-103,34:01,10,6,4,0,0,4,1,3,10,3,4
"Caruso, Alex",1,17.8,3500,lal,lac,home, 103-101,27:50,7,4,2,1,0,0,0,2,7,3,6
"Hart, Josh",2,14.1,4400,nor,uta,home, 104-106,22:01,10,3,1,0,0,1,2,4,7,0,1
"Beverley, Patrick",1,12.7,4600,lac,lal,away, 101-103,16:06,12,1,1,0,0,2,2,3,7,4,5
"Caldwell-Pope, Kentavious",2,12.2,3700,lal,lac,home, 103-101,29:27,6,1,2,1,0,1,0,2,8,2,3
"Shamet, Landry",1,3.6,3500,lac,lal,away, 101-103,22:06,2,3,0,0,0,2,0,1,8,0,0
"Green, Danny",2,3.2,4100,lal,lac,home, 103-101,25:12,6,1,0,0,0,4,2,2,6,0,0
"Jackson, Frank",1,2.7,3500,nor,uta,home, 104-106,3:49,0,1,1,0,0,0,0,0,0,0,0
"Mudiay, Emmanuel",1,0.2,3500,uta,nor,away, 106-104,10:20,0,1,0,0,0,1,0,0,2,0,0
"Smith, J.R.",2,0,4000,lal,lac,home, 103-101,7:51,0,0,0,0,0,0,0,0,1,0,0
"Cook, Quinn",1,0,3500,lal,lac,home, 103-101,DNP,0,0,0,0,0,0,0,0,0,0,0
"Alexander-Walker, Nickeil",2,0,3500,nor,uta,home, 104-106,DNP,0,0,0,0,0,0,0,0,0,0,0
"Tucker, Rayjon",1,0,3500,uta,nor,away, 106-104,DNP,0,0,0,0,0,0,0,0,0,0,0
"McGruder, Rodney",2,0,3500,lac,lal,away, 101-103,DNP,0,0,0,0,0,0,0,0,0,0,0
"Mann, Terance",2,0,3500,lac,lal,away, 101-103,DNP,0,0,0,0,0,0,0,0,0,0,0
"Williams, Louis",2,0,4900,lac,lal,away, 101-103,NA,0,0,0,0,0,0,0,0,0,0,0
"Rondo, Rajon",1,0,3800,lal,lac,home, 103-101,NA,0,0,0,0,0,0,0,0,0,0,0
"Wright-Foreman, Justin",1,0,3500,uta,nor,away, 106-104,NA,0,0,0,0,0,0,0,0,0,0,0
