Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"James, LeBron",-1,73.2,N/A,lal,den,home, 117-107,40:01,38,16,10,1,0,2,1,15,25,7,8
"Davis, Anthony",-1,45.5,N/A,lal,den,home, 117-107,34:43,27,5,3,2,1,1,2,8,16,9,9
"Jokic, Nikola",-1,43.9,N/A,den,lal,away, 107-117,29:57,20,7,5,3,0,1,1,9,16,1,1
"Grant, Jerami",-1,37.3,N/A,den,lal,away, 107-117,45:37,20,9,1,1,1,1,2,7,18,4,4
"Murray, Jamal",-1,33.8,N/A,den,lal,away, 107-117,43:05,19,4,8,1,0,5,0,7,17,5,5
"Howard, Dwight",-1,23.8,N/A,lal,den,home, 117-107,35:09,9,9,0,0,2,2,0,3,4,3,6
"Morris, Monte",-1,22.9,N/A,den,lal,away, 107-117,28:01,10,2,7,0,0,0,0,4,9,2,2
"Caruso, Alex",-1,22.4,N/A,lal,den,home, 117-107,25:39,11,2,4,1,1,3,0,5,7,1,1
"Green, Danny",-1,20,N/A,lal,den,home, 117-107,28:06,11,0,2,0,2,0,2,3,7,3,4
"Millsap, Paul",-1,18.3,N/A,den,lal,away, 107-117,30:42,13,4,1,0,0,1,1,1,8,10,11
"Rondo, Rajon",-1,16.6,N/A,lal,den,home, 117-107,12:49,8,3,4,0,0,1,2,3,5,0,0
"Kuzma, Kyle",-1,16.1,N/A,lal,den,home, 117-107,20:44,8,3,1,0,1,0,1,3,7,1,1
"Plumlee, Mason",-1,13,N/A,den,lal,away, 107-117,18:03,7,5,0,0,0,0,0,3,7,1,1
"Porter, Michael",-1,12.4,N/A,den,lal,away, 107-117,17:07,10,2,0,0,0,0,2,4,7,0,2
"Caldwell-Pope, Kentavious",-1,8.2,N/A,lal,den,home, 117-107,26:21,2,1,0,2,0,1,0,1,2,0,0
"Morris, Markieff",-1,7.6,N/A,lal,den,home, 117-107,14:13,3,3,0,0,1,2,1,1,3,0,0
"Dozier, PJ",-1,6.2,N/A,den,lal,away, 107-117,6:45,5,1,0,0,0,0,1,2,3,0,0
"Harris, Gary",-1,3.9,N/A,den,lal,away, 107-117,13:14,3,2,1,0,0,3,1,1,4,0,0
"Craig, Torrey",-1,3,N/A,den,lal,away, 107-117,7:29,0,0,0,0,1,0,0,0,1,0,0
"McGee, JaVale",-1,0.2,N/A,lal,den,home, 117-107,2:15,0,1,0,0,0,1,0,0,1,0,0
