Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Harden, James",SG,58.2,"$11,800",hou,uta,home, 100-93,38:42,   26pt 6rb 6as 3st 4bl 5to 3trey 10-26fg 3-5ft,26,6,6,3,4,5,3,10,26,3,5
"Williams, Louis",SG,47.8,"$7,500",lac,gsw,away, 129-121,34:29,   33pt 4rb 10as 5to 1trey 12-19fg 8-9ft,33,4,10,0,0,5,1,12,19,8,9
"Rubio, Ricky",PG,41.9,"$7,400",uta,hou,away, 93-100,34:53,   17pt 2rb 11as 3st 3to 1trey 7-15fg 2-2ft,17,2,11,3,0,3,1,7,15,2,2
"Beverley, Patrick",PG,41.8,"$5,300",lac,gsw,away, 129-121,36:46,   17pt 14rb 4as 1st 1to 5trey 6-13fg,17,14,4,1,0,1,5,6,13,0,0
"Paul, Chris",PG,38.1,"$8,100",hou,uta,home, 100-93,37:01,   15pt 8rb 5as 3st 3to 1trey 6-16fg 2-2ft,15,8,5,3,0,3,1,6,16,2,2
"Curry, Stephen",PG,33.6,"$10,000",gsw,lac,home, 121-129,38:05,   24pt 3rb 4as 1bl 3to 4trey 7-15fg 6-6ft,24,3,4,0,1,3,4,7,15,6,6
"Gordon, Eric",SG,29.1,"$4,800",hou,uta,home, 100-93,39:30,   15pt 3rb 3as 2st 1bl 3to 4trey 5-13fg 1-2ft,15,3,3,2,1,3,4,5,13,1,2
"Iguodala, Andre",SG,28.8,"$4,500",gsw,lac,home, 121-129,27:14,   3pt 4rb 8as 2st 1bl 1trey 1-7fg,3,4,8,2,1,0,1,1,7,0,0
"Thompson, Klay",SG,26.6,"$6,700",gsw,lac,home, 121-129,37:03,   22pt 3rb 2as 2to 4trey 9-20fg,22,3,2,0,0,2,4,9,20,0,0
"Mitchell, Donovan",SG,18.7,"$9,200",uta,hou,away, 93-100,39:02,   12pt 6rb 1as 1st 5to 4-22fg 4-5ft,12,6,1,1,0,5,0,4,22,4,5
"Shamet, Landry",PG,13.1,"$4,200",lac,gsw,away, 129-121,36:50,   6pt 3rb 3as 1to 1trey 1-4fg 3-3ft,6,3,3,0,0,1,1,1,4,3,3
"Gilgeous-Alexander, Shai",PG,13.1,"$5,500",lac,gsw,away, 129-121,19:19,   6pt 3rb 3as 1to 2-3fg 2-2ft,6,3,3,0,0,1,0,2,3,2,2
"Livingston, Shaun",PG,7.4,"$3,500",gsw,lac,home, 121-129,11:41,   2pt 2rb 2as 1-2fg,2,2,2,0,0,0,0,1,2,0,0
"Temple, Garrett",SG,6.5,"$3,500",lac,gsw,away, 129-121,10:53,   2pt 1as 1st 2-2ft,2,0,1,1,0,0,0,0,0,2,2
"Robinson, Jerome",PG,5.4,"$3,500",lac,gsw,away, 129-121,5:43,   0pt 2rb 2as 0-1fg,0,2,2,0,0,0,0,0,1,0,0
"Rivers, Austin",SG,1,"$3,500",hou,uta,home, 100-93,9:18,   3pt 2to 1trey 1-3fg,3,0,0,0,0,2,1,1,3,0,0
"Wallace, Tyrone",SG,0,"$3,500",lac,gsw,away, 129-121,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Evans III, Jacob",SG,0,"$3,500",gsw,lac,home, 121-129,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Cook, Quinn",PG,0,"$3,500",gsw,lac,home, 121-129,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Korver, Kyle",SG,0,"$3,500",uta,hou,away, 93-100,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Neto, Raul",PG,0,"$3,500",uta,hou,away, 93-100,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Shumpert, Iman",SG,0,"$3,500",hou,uta,home, 100-93,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Thornwell, Sindarius",SG,0,"$3,500",lac,gsw,away, 129-121,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Allen, Grayson",SG,0,"$3,500",uta,hou,away, 93-100,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Exum, Dante",PG,0,"$3,500",uta,hou,away, 93-100,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Chiozza, Chris",PG,0,"$3,500",hou,uta,home, 100-93,NA,   ,0,0,0,0,0,0,0,0,0,0,0
