Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Jokic, Nikola",NA,77.9,N/A,den,sas,away, 103-120,38:09,   43pt 12rb 9as 2st 1bl 2to 2trey 19-30fg 3-4ft,43,12,9,2,1,2,2
"Aldridge, LaMarcus",NA,48.5,N/A,sas,den,home, 120-103,37:30,   26pt 10rb 5as 1bl 1trey 10-18fg 5-6ft,26,10,5,0,1,0,1
"DeRozan, DeMar",NA,42.9,N/A,sas,den,home, 120-103,36:20,   25pt 7rb 7as 1to 12-16fg 1-2ft,25,7,7,0,0,1,0
"Gay, Rudy",NA,32.8,N/A,sas,den,home, 120-103,28:15,   19pt 4rb 2as 2bl 3trey 7-11fg 2-2ft,19,4,2,0,2,0,3
"Murray, Jamal",NA,25.6,N/A,den,sas,away, 103-120,34:55,   16pt 3rb 6as 3to 1trey 7-18fg 1-2ft,16,3,6,0,0,3,1
"Mills, Patty",NA,24.4,N/A,sas,den,home, 120-103,25:02,   6pt 2rb 6as 3st 2to 3-12fg,6,2,6,3,0,2,0
"Craig, Torrey",NA,24.2,N/A,den,sas,away, 103-120,32:42,   5pt 6rb 6as 1st 1trey 2-6fg,5,6,6,1,0,0,1
"Poeltl, Jakob",NA,23.8,N/A,sas,den,home, 120-103,28:24,   8pt 9rb 2as 1bl 1to 4-6fg,8,9,2,0,1,1,0
"White, Derrick",NA,22.2,N/A,sas,den,home, 120-103,27:31,   13pt 1rb 2as 2bl 1to 2trey 4-7fg 3-4ft,13,1,2,0,2,1,2
"Harris, Gary",NA,18.2,N/A,den,sas,away, 103-120,34:30,   14pt 1rb 2as 2trey 5-8fg 2-2ft,14,1,2,0,0,0,2
"Millsap, Paul",NA,16.8,N/A,den,sas,away, 103-120,33:52,   12pt 4rb 6-10fg,12,4,0,0,0,0,0
"Belinelli, Marco",NA,14.9,N/A,sas,den,home, 120-103,20:07,   9pt 2rb 1as 1bl 1to 2trey 2-4fg 3-3ft,9,2,1,0,1,1,2
"Forbes, Bryn",NA,14.6,N/A,sas,den,home, 120-103,30:29,   12pt 3rb 1to 2trey 5-8fg,12,3,0,0,0,1,2
"Plumlee, Mason",NA,11.6,N/A,den,sas,away, 103-120,8:06,   5pt 3rb 1bl 1-2fg 3-4ft,5,3,0,0,1,0,0
"Morris, Monte",NA,10.9,N/A,den,sas,away, 103-120,14:12,   4pt 2rb 3as 2-6fg,4,2,3,0,0,0,0
"Beasley, Malik",NA,7.4,N/A,den,sas,away, 103-120,19:57,   2pt 2rb 1st 1-6fg,2,2,0,1,0,0,0
"Barton, Will",NA,5.4,N/A,den,sas,away, 103-120,19:29,   2pt 2rb 1st 2to 1-7fg,2,2,0,1,0,2,0
"Walker, Lonnie",NA,2,N/A,sas,den,home, 120-103,1:45,   2pt 1-1fg,2,0,0,0,0,0,0
"Lyles, Trey",NA,1.2,N/A,den,sas,away, 103-120,1:45,   0pt 1rb 0-3fg,0,1,0,0,0,0,0
