Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Clarkson, Jordan",SG,60.1,"$6,200",cle,bkn,home, 139-148,47:32,   42pt 8rb 5as 1st 1bl 5to 7trey 16-34fg 3-3ft,42,8,5,1,1,5,7
"Harden, James",SG,51,"$12,800",hou,min,away, 111-121,39:41,   42pt 5rb 6as 6to 8trey 15-34fg 4-4ft,42,5,6,0,0,6,8
"Teague, Jeff",PG,50.6,"$6,100",min,hou,home, 121-111,37:50,   27pt 3rb 12as 1st 1to 1trey 11-16fg 4-4ft,27,3,12,1,0,1,1
"Russell, D'Angelo",SG,49.4,"$9,000",bkn,cle,away, 148-139,42:41,   36pt 7rb 8as 7to 5trey 13-30fg 5-6ft,36,7,8,0,0,7,5
"Butler, Jimmy",SG,48.4,"$8,100",phi,nyk,away, 126-111,34:05,   13pt 7rb 8as 3st 2bl 4-6fg 5-5ft,13,7,8,3,2,0,0
"Beal, Bradley",SG,48.1,"$9,700",was,tor,away, 120-129,43:56,   28pt 3rb 11as 1st 1bl 6to 2trey 6-15fg 14-15ft,28,3,11,1,1,6,2
"Williams, Louis",SG,45.2,"$8,100",lac,pho,home, 134-107,22:03,   30pt 1rb 10as 1to 2trey 12-16fg 4-4ft,30,1,10,0,0,1,2
"Lillard, Damian",PG,44.6,"$10,200",por,gsw,home, 129-107,31:38,   29pt 3rb 8as 6trey 9-15fg 5-6ft,29,3,8,0,0,0,6
"Lowry, Kyle",PG,43.3,"$8,000",tor,was,home, 129-120,34:18,   14pt 4rb 13as 3st 4to 4trey 4-12fg 2-2ft,14,4,13,3,0,4,4
"Curry, Stephen",PG,42.4,"$9,100",gsw,por,away, 107-129,32:37,   32pt 7rb 2as 1to 5trey 10-24fg 7-7ft,32,7,2,0,0,1,5
"Doncic, Luka",SG,39.9,"$9,800",dal,mia,home, 101-112,33:21,   18pt 12rb 9as 6to 3trey 5-17fg 5-7ft,18,12,9,0,0,6,3
