Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Mitchell, Donovan",SG,55.9,"$13,500",,,home, 144-,26:10,   20pt 7rb 9as 5st 1bl 4to 3trey 8-13fg 1-1ft,20,7,9,5,1,4,3,8,13,1,1
"Young, Trae",PG,49.4,"$11,500",,,home, 144-,24:00,   25pt 7rb 10as 1bl 2to 6trey 9-19fg 1-2ft,25,7,10,0,1,2,6,9,19,1,2
"Simmons, Ben",PG,48,"$14,500",,,away, 144-,20:34,   28pt 5rb 6as 3st 4to 14-17fg 0-1ft,28,5,6,3,0,4,0,14,17,0,1
"Fox, De'Aaron",PG,40.4,"$12,000",,,home, 144-,22:56,   2pt 2rb 16as 5st 3to 1-3fg,2,2,16,5,0,3,0,1,3,0,0
"Gilgeous-Alexander, Shai",PG,37,"$7,500",,,away, 144-,19:52,   15pt 5rb 6as 3st 2to 3trey 5-10fg 2-2ft,15,5,6,3,0,2,3,5,10,2,2
"Doncic, Luka",SG,36.5,"$15,000",,,away, 144-,24:01,   13pt 5rb 9as 2st 2to 3trey 5-12fg,13,5,9,2,0,2,3,5,12,0,0
"Bogdanovic, Bogdan",SG,29,"$9,000",,,away, 144-,24:00,   15pt 5rb 6as 1st 4to 5trey 5-11fg,15,5,6,1,0,4,5,5,11,0,0
"Okogie, Josh",SG,22.8,"$7,000",,,away, 144-,18:40,   13pt 4rb 4as 1to 6-10fg 1-1ft,13,4,4,0,0,1,0,6,10,1,1
Daily blurbs,"

RotoGuru Menu
Daily blurbs


Message Forum
Forum Keepers 

Sponsorship
Troubleshooting




Football Pickoff

 Login
 Standings






 
Basketball





DailyHoopsData
Stat Summarizer
Player Lookup
NBA Schedule

Full Season
Next 4 weeks



FanDuel Hoops
Sortable Stats
Daily FDP






DraftKings Hoops

Sortable Stats
Daily DKP

Yahoo DFS Hoops

Sortable Stats
Daily YHP

Market Madness
Contest Site
Rules
Historical Stats


Recap of Entries
Unit Returns
Standings



 
Baseball

MLB Schedule



Base Advances
Player Lookup
DailyBaseballData
Pitcher vs. Batter
Weather

Daily Live Stats













FanDuel Baseball
Sortable Stats
Daily FDP 







DraftKings Baseball


Sortable Stats
Daily DKP 

Yahoo DFS Baseball
Sortable Stats
Daily YHP 






MFL Site
Football


NFL Schedule
Field Goals
Player Lookup






FanDuel Football
Sortable Stats
Weekly FDP



DraftKings Football

Sortable Stats
Weekly DKP


Yahoo DFS Football
Sortable Stats
Weekly YHP









General

Home page
Hall of Fame
Gur-who?














", , ,"

","












Fantasy Points for 15-Feb-2019FanDuel Salary Cap NBA Basketball      Select other gameFanDuelDraftKingsYahoo DFS   Oct
Nov
Dec
Jan
Feb
Mar
Apr
May
Jun
Jul
Aug
Sep
 1
 2
 3
 4
 5
 6
 7
 8
 9
 10
 11
 12
 13
 14
 15
 16
 17
 18
 19
 20
 21
 22
 23
 24
 25
 26
 27
 28
 29
 30
 31
 2021
 2020
 2019
 2018
 2017
 2016
 2015
 2014
 Past week:    14-Feb   |   13-Feb   |   12-Feb   |   11-Feb   |   10-Feb   |   9-Feb   |   8-Feb   |Starters are indicated by a ^ following the players  name.Active players not appearing in a game are listed as DNP.Inactive players are denoted as NA.Player salaries are only for the 'Full Roster' game style at FanDuel. 
To sort players by game, click here
For data in semi-colon delimited format, click here.Or try downloading this fuller set of season-long data.






Jump to:     Guards   |   Forwards   |   Centers   |   Unlisted   | Guards FD PointsSalaryTeamOpp. ScoreMin   Stats
SGMitchell, Donovan^55.9$13,500v  144-26:10   20pt 7rb 9as 5st 1bl 4to 3trey 8-13fg 1-1ft
PGYoung, Trae49.4$11,500v  144-24:00   25pt 7rb 10as 1bl 2to 6trey 9-19fg 1-2ft
PGSimmons, Ben^48$14,500@  144-20:34   28pt 5rb 6as 3st 4to 14-17fg 0-1ft
PGFox, De'Aaron^40.4$12,000v  144-22:56   2pt 2rb 16as 5st 3to 1-3fg
PGGilgeous-Alexander, Shai37$7,500@  144-19:52   15pt 5rb 6as 3st 2to 3trey 5-10fg 2-2ft
SGDoncic, Luka^36.5$15,000@  144-24:01   13pt 5rb 9as 2st 2to 3trey 5-12fg
SGBogdanovic, Bogdan^29$9,000@  144-24:00   15pt 5rb 6as 1st 4to 5trey 5-11fg
SGOkogie, Josh22.8$7,000@  144-18:40   13pt 4rb 4as 1to 6-10fg 1-1ft
Jump to:     Guards   |   Forwards   |   Centers   |   Unlisted   | Forwards FD PointsSalaryTeamOpp. ScoreMin   Stats
PFTatum, Jayson^51.3$11,000v  144-26:19   30pt 9rb 3as 2st 6trey 12-24fg
PFKuzma, Kyle^47.2$10,500v  144-22:04   35pt 6rb 2as 1bl 1to 3trey 15-27fg 2-2ft
PFBagley, Marvin33.5$9,500v  144-16:54   14pt 5rb 3as 3st 7-11fg
PFMarkkanen, Lauri^29.2$14,000@  144-22:24   21pt 6rb 2as 2to 3trey 9-17fg
PFKurucs, Rodions20.3$6,000@  144-15:33   10pt 4rb 5as 2to 2trey 4-9fg
PFJackson, Jaren20.2$10,000v  144-15:32   10pt 6rb 1st 2trey 4-6fg
SFOsman, Cedi16.6$7,500@  144-15:07   2pt 3rb 4as 2st 1to 1-6fg
SFKnox, Kevin14.9$8,000v  144-16:08   11pt 2rb 1as 1trey 5-9fg
SFAnunoby, OG14.9$6,000@  144-17:36   12pt 2rb 1as 1to 6-8fg
PFCollins, John^13.4$12,500v  144-14:58   12pt 2rb 1to 6-7fg
Jump to:     Guards   |   Forwards   |   Centers   |   Unlisted   | Centers FD PointsSalaryTeamOpp. ScoreMin   Stats
CAyton, Deandre^32.1$11,500@  144-22:13   15pt 8rb 5as 7-12fg 1-1ft
CAllen, Jarrett13.5$8,500v  144-14:59   2pt 5rb 1as 2bl 2to 0-2fg 2-2ft




RotoGuru is produced by Dave Hall (a.k.a. the Guru), an avid fantasy sports player. He is not employed by any of the fantasy sports games discussed within this site, and all opinions expressed are solely his own. Questions or comments are welcome, and should be emailed to Guru<davehall@rotoguru2.com>.
MLB amd NBA statistical data provided under license with and

 © Copyright 1998-2018 by Uncommon Cents, LLC.  All rights reserved.

",messed up,"



",Fantasy Points for 15-Feb-2019FanDuel Salary Cap NBA Basketball     , ,0,0,0,0,0,0,0,0,0,0,0
Daily blurbs,"

RotoGuru Menu
Daily blurbs


Message Forum
Forum Keepers 

Sponsorship
Troubleshooting




Football Pickoff

 Login
 Standings






 
Basketball





DailyHoopsData
Stat Summarizer
Player Lookup
NBA Schedule

Full Season
Next 4 weeks



FanDuel Hoops
Sortable Stats
Daily FDP






DraftKings Hoops

Sortable Stats
Daily DKP

Yahoo DFS Hoops

Sortable Stats
Daily YHP

Market Madness
Contest Site
Rules
Historical Stats


Recap of Entries
Unit Returns
Standings



 
Baseball

MLB Schedule



Base Advances
Player Lookup
DailyBaseballData
Pitcher vs. Batter
Weather

Daily Live Stats













FanDuel Baseball
Sortable Stats
Daily FDP 







DraftKings Baseball


Sortable Stats
Daily DKP 

Yahoo DFS Baseball
Sortable Stats
Daily YHP 






MFL Site
Football


NFL Schedule
Field Goals
Player Lookup






FanDuel Football
Sortable Stats
Weekly FDP



DraftKings Football

Sortable Stats
Weekly DKP


Yahoo DFS Football
Sortable Stats
Weekly YHP









General

Home page
Hall of Fame
Gur-who?














", , ,"

","












Fantasy Points for 15-Feb-2019FanDuel Salary Cap NBA Basketball      Select other gameFanDuelDraftKingsYahoo DFS   Oct
Nov
Dec
Jan
Feb
Mar
Apr
May
Jun
Jul
Aug
Sep
 1
 2
 3
 4
 5
 6
 7
 8
 9
 10
 11
 12
 13
 14
 15
 16
 17
 18
 19
 20
 21
 22
 23
 24
 25
 26
 27
 28
 29
 30
 31
 2021
 2020
 2019
 2018
 2017
 2016
 2015
 2014
 Past week:    14-Feb   |   13-Feb   |   12-Feb   |   11-Feb   |   10-Feb   |   9-Feb   |   8-Feb   |Starters are indicated by a ^ following the players  name.Active players not appearing in a game are listed as DNP.Inactive players are denoted as NA.Player salaries are only for the 'Full Roster' game style at FanDuel. 
To sort players by game, click here
For data in semi-colon delimited format, click here.Or try downloading this fuller set of season-long data.






Jump to:     Guards   |   Forwards   |   Centers   |   Unlisted   | Guards FD PointsSalaryTeamOpp. ScoreMin   Stats
SGMitchell, Donovan^55.9$13,500v  144-26:10   20pt 7rb 9as 5st 1bl 4to 3trey 8-13fg 1-1ft
PGYoung, Trae49.4$11,500v  144-24:00   25pt 7rb 10as 1bl 2to 6trey 9-19fg 1-2ft
PGSimmons, Ben^48$14,500@  144-20:34   28pt 5rb 6as 3st 4to 14-17fg 0-1ft
PGFox, De'Aaron^40.4$12,000v  144-22:56   2pt 2rb 16as 5st 3to 1-3fg
PGGilgeous-Alexander, Shai37$7,500@  144-19:52   15pt 5rb 6as 3st 2to 3trey 5-10fg 2-2ft
SGDoncic, Luka^36.5$15,000@  144-24:01   13pt 5rb 9as 2st 2to 3trey 5-12fg
SGBogdanovic, Bogdan^29$9,000@  144-24:00   15pt 5rb 6as 1st 4to 5trey 5-11fg
SGOkogie, Josh22.8$7,000@  144-18:40   13pt 4rb 4as 1to 6-10fg 1-1ft
Jump to:     Guards   |   Forwards   |   Centers   |   Unlisted   | Forwards FD PointsSalaryTeamOpp. ScoreMin   Stats
PFTatum, Jayson^51.3$11,000v  144-26:19   30pt 9rb 3as 2st 6trey 12-24fg
PFKuzma, Kyle^47.2$10,500v  144-22:04   35pt 6rb 2as 1bl 1to 3trey 15-27fg 2-2ft
PFBagley, Marvin33.5$9,500v  144-16:54   14pt 5rb 3as 3st 7-11fg
PFMarkkanen, Lauri^29.2$14,000@  144-22:24   21pt 6rb 2as 2to 3trey 9-17fg
PFKurucs, Rodions20.3$6,000@  144-15:33   10pt 4rb 5as 2to 2trey 4-9fg
PFJackson, Jaren20.2$10,000v  144-15:32   10pt 6rb 1st 2trey 4-6fg
SFOsman, Cedi16.6$7,500@  144-15:07   2pt 3rb 4as 2st 1to 1-6fg
SFKnox, Kevin14.9$8,000v  144-16:08   11pt 2rb 1as 1trey 5-9fg
SFAnunoby, OG14.9$6,000@  144-17:36   12pt 2rb 1as 1to 6-8fg
PFCollins, John^13.4$12,500v  144-14:58   12pt 2rb 1to 6-7fg
Jump to:     Guards   |   Forwards   |   Centers   |   Unlisted   | Centers FD PointsSalaryTeamOpp. ScoreMin   Stats
CAyton, Deandre^32.1$11,500@  144-22:13   15pt 8rb 5as 7-12fg 1-1ft
CAllen, Jarrett13.5$8,500v  144-14:59   2pt 5rb 1as 2bl 2to 0-2fg 2-2ft




RotoGuru is produced by Dave Hall (a.k.a. the Guru), an avid fantasy sports player. He is not employed by any of the fantasy sports games discussed within this site, and all opinions expressed are solely his own. Questions or comments are welcome, and should be emailed to Guru<davehall@rotoguru2.com>.
MLB amd NBA statistical data provided under license with and

 © Copyright 1998-2018 by Uncommon Cents, LLC.  All rights reserved.

",messed up,"



",Fantasy Points for 15-Feb-2019FanDuel Salary Cap NBA Basketball     , ,0,0,0,0,0,0,0,0,0,0,0
