Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Harden, James",SG,95,"$13,500",hou,nyk,away, 114-110,40:00,   61pt 15rb 4as 5st 5to 5trey 17-38fg 22-25ft,61,15,4,5,0,5,5
"Mitchell, Donovan",SG,61.2,"$8,300",uta,den,home, 114-108,38:23,   35pt 6rb 6as 2st 2bl 2to 6trey 12-25fg 5-9ft,35,6,6,2,2,2,6
"Simmons, Ben",PG,55.5,"$9,900",phi,sas,home, 122-120,35:23,   21pt 10rb 15as 1st 3to 9-14fg 3-4ft,21,10,15,1,0,3,0
"Russell, D'Angelo",SG,51.4,"$8,600",bkn,orl,home, 114-110,33:44,   25pt 7rb 10as 2st 3to 3trey 9-21fg 4-5ft,25,7,10,2,0,3,3
"Trier, Allonzo",SG,47.5,"$4,400",nyk,hou,home, 110-114,32:37,   31pt 10rb 3as 1st 3to 2trey 12-18fg 5-5ft,31,10,3,1,0,3,2
"Walker, Kemba",PG,45.9,"$9,000",cha,mem,away, 118-107,38:58,   22pt 2rb 7as 4st 1to 3trey 9-17fg 1-2ft,22,2,7,4,0,1,3
"Rozier, Terry",PG,45.6,"$4,500",bos,cle,home, 123-103,29:47,   26pt 8rb 6as 1st 2to 4trey 9-13fg 4-4ft,26,8,6,1,0,2,4
"Holiday, Jrue",SG,45.5,"$9,500",nor,det,home, 94-98,38:11,   29pt 5rb 7as 14-24fg 1-2ft,29,5,7,0,0,0,0
"DeRozan, DeMar",SG,44.3,"$7,700",sas,phi,away, 120-122,37:06,   26pt 9rb 3as 2st 1bl 6to 12-19fg 2-3ft,26,9,3,2,1,6,0
"Burks, Alec",SG,39.8,"$3,800",cle,bos,away, 103-123,25:33,   10pt 9rb 6as 2st 2bl 2to 1trey 3-8fg 3-4ft,10,9,6,2,2,2,1
"Dinwiddie, Spencer",PG,39.1,"$5,800",bkn,orl,home, 114-110,30:22,   29pt 3rb 3as 1st 1to 2trey 10-17fg 7-8ft,29,3,3,1,0,1,2
"Craig, Torrey",SG,37.6,"$3,700",den,uta,away, 108-114,38:23,   7pt 8rb 2as 2st 4bl 3-8fg 1-4ft,7,8,2,2,4,0,0
"LaVine, Zach",SG,36.8,"$7,100",chi,atl,home, 101-121,34:09,   23pt 4rb 4as 2st 3to 2trey 6-15fg 9-10ft,23,4,4,2,0,3,2
"Collison, Darren",PG,36.8,"$6,200",ind,tor,home, 110-106,32:08,   17pt 4rb 8as 1st 5-13fg 7-8ft,17,4,8,1,0,0,0
"Dunn, Kris",PG,36.3,"$7,400",chi,atl,home, 101-121,26:46,   16pt 4rb 3as 2st 2bl 1to 1trey 5-11fg 5-6ft,16,4,3,2,2,1,1
"Augustin, D.J.",PG,35.6,"$4,600",orl,bkn,away, 110-114,28:05,   19pt 3rb 6as 2st 2to 2trey 5-11fg 7-7ft,19,3,6,2,0,2,2
"White, Derrick",PG,35.3,"$5,400",sas,phi,away, 120-122,36:15,   15pt 4rb 5as 2st 1bl 1to 1trey 6-9fg 2-2ft,15,4,5,2,1,1,1
"Conley, Mike",PG,34.9,"$8,600",mem,cha,home, 107-118,36:01,   31pt 2rb 1as 1st 3to 2trey 10-17fg 9-9ft,31,2,1,1,0,3,2
"Lowry, Kyle",PG,34.5,"$7,500",tor,ind,away, 106-110,36:34,   20pt 5rb 7as 1bl 5to 3trey 6-13fg 5-6ft,20,5,7,0,1,5,3
"Williams, Louis",SG,33,"$6,500",lac,mia,away, 111-99,21:08,   13pt 5rb 6as 1st 1bl 1to 1trey 5-12fg 2-4ft,13,5,6,1,1,1,1
"Brown, Jaylen",SG,32.2,"$4,300",bos,cle,home, 123-103,25:11,   23pt 6rb 1st 1to 2trey 8-12fg 5-6ft,23,6,0,1,0,1,2
"Young, Trae",PG,31.4,"$7,100",atl,chi,away, 121-101,32:45,   5pt 7rb 12as 1st 3to 1trey 1-12fg 2-2ft,5,7,12,1,0,3,1
"Gordon, Eric",SG,28.8,"$5,300",hou,nyk,away, 114-110,36:36,   20pt 4rb 2st 2to 3trey 8-15fg 1-3ft,20,4,0,2,0,2,3
"Rubio, Ricky",PG,28.6,"$6,300",uta,den,home, 114-108,24:13,   17pt 3rb 6as 1to 2trey 6-10fg 3-3ft,17,3,6,0,0,1,2
"Hardaway Jr., Tim",SG,27.3,"$5,700",nyk,hou,home, 110-114,35:10,   21pt 4rb 1as 4trey 6-16fg 5-5ft,21,4,1,0,0,0,4
"Johnson, Tyler",PG,26.9,"$4,300",mia,lac,home, 99-111,35:30,   15pt 2rb 5as 1bl 1to 1trey 5-11fg 4-6ft,15,2,5,0,1,1,1
"Lamb, Jeremy",SG,26.8,"$6,000",cha,mem,away, 118-107,29:52,   17pt 4rb 4as 1to 1trey 5-9fg 6-7ft,17,4,4,0,0,1,1
"Jackson, Reggie",PG,26.5,"$5,000",det,nor,away, 98-94,30:01,   17pt 5rb 3as 1to 4trey 6-11fg 1-2ft,17,5,3,0,0,1,4
