Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Green, Draymond",NA,60.3,N/A,gsw,tor,home, 110-114,44:12,   11pt 19rb 13as 3st 2bl 8to 1trey 5-10fg 0-2ft,11,19,13,3,2,8,1
"Lowry, Kyle",NA,55.4,N/A,tor,gsw,away, 114-110,41:42,   26pt 7rb 10as 3st 3to 4trey 9-16fg 4-6ft,26,7,10,3,0,3,4
"Siakam, Pascal",NA,46.5,N/A,tor,gsw,away, 114-110,46:10,   26pt 10rb 3as 1st 1bl 2to 3trey 10-17fg 3-4ft,26,10,3,1,1,2,3
"Curry, Stephen",NA,41.1,N/A,gsw,tor,home, 110-114,41:53,   21pt 3rb 7as 2st 1bl 3to 3trey 6-17fg 6-6ft,21,3,7,2,1,3,3
"Leonard, Kawhi",NA,40.7,N/A,tor,gsw,away, 114-110,41:05,   22pt 6rb 3as 2st 1bl 2to 1trey 7-16fg 7-8ft,22,6,3,2,1,2,1
"Thompson, Klay",NA,40,N/A,gsw,tor,home, 110-114,31:59,   30pt 5rb 2st 2to 4trey 8-12fg 10-10ft,30,5,0,2,0,2,4
"Iguodala, Andre",NA,29.4,N/A,gsw,tor,home, 110-114,32:01,   22pt 2rb 2as 1bl 1to 3trey 9-15fg 1-5ft,22,2,2,0,1,1,3
"VanVleet, Fred",NA,26.4,N/A,tor,gsw,away, 114-110,33:48,   22pt 2rb 1st 1to 5trey 6-14fg 5-5ft,22,2,0,1,0,1,5
"Cousins, DeMarcus",NA,24,N/A,gsw,tor,home, 110-114,18:44,   12pt 5rb 2as 1bl 4-9fg 4-7ft,12,5,2,0,1,0,0
"Looney, Kevon",NA,20.6,N/A,gsw,tor,home, 110-114,26:50,   6pt 3rb 4as 1st 1bl 1to 3-7fg,6,3,4,1,1,1,0
"Ibaka, Serge",NA,20.6,N/A,tor,gsw,away, 114-110,22:07,   15pt 3rb 2as 1to 7-12fg 1-2ft,15,3,2,0,0,1,0
"Gasol, Marc",NA,18.8,N/A,tor,gsw,away, 114-110,26:34,   3pt 9rb 4as 1to 0-5fg 3-4ft,3,9,4,0,0,1,0
"Livingston, Shaun",NA,8,N/A,gsw,tor,home, 110-114,16:10,   6pt 1st 1to 3-5fg,6,0,0,1,0,1,0
"Cook, Quinn",NA,3.2,N/A,gsw,tor,home, 110-114,12:30,   2pt 1rb 1-3fg,2,1,0,0,0,0,0
"Bogut, Andrew",NA,1.2,N/A,gsw,tor,home, 110-114,2:50,   0pt 1rb 0-1fg,0,1,0,0,0,0,0
"Powell, Norman",NA,0.2,N/A,tor,gsw,away, 114-110,10:50,   0pt 1rb 1to 0-2fg,0,1,0,0,0,1,0
