Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Walker, Kemba",PG,61.5,"$8,800",cha,hou,away, 106-118,40:27,   40pt 10rb 7as 1bl 4to 6trey 14-20fg 6-7ft,40,10,7,0,1,4,6,14,20,6,7
"Beal, Bradley",SG,60.3,"$10,800",was,sac,home, 121-115,38:13,   27pt 9rb 9as 4st 3to 3trey 9-20fg 6-8ft,27,9,9,4,0,3,3,9,20,6,8
"Harden, James",SG,55.2,"$12,400",hou,cha,home, 118-106,35:00,   28pt 6rb 10as 3st 4to 3trey 7-21fg 11-12ft,28,6,10,3,0,4,3,7,21,11,12
"Mitchell, Donovan",SG,52.3,"$8,900",uta,okc,home, 89-98,37:03,   25pt 4rb 5as 5st 1bl 3to 3trey 8-22fg 6-8ft,25,4,5,5,1,3,3,8,22,6,8
"Westbrook, Russell",PG,51.2,"$11,300",okc,uta,away, 98-89,37:20,   23pt 11rb 8as 1st 1bl 3to 2trey 9-19fg 3-6ft,23,11,8,1,1,3,2,9,19,3,6
"Williams, Louis",SG,43.3,"$7,300",lac,bos,home, 140-115,23:13,   34pt 4rb 5as 3to 2trey 14-20fg 4-4ft,34,4,5,0,0,3,2,14,20,4,4
"Sexton, Collin",PG,40.3,"$5,400",cle,tor,home, 126-101,36:15,   28pt 4rb 5as 4trey 10-18fg 4-4ft,28,4,5,0,0,0,4,10,18,4,4
"Fox, De'Aaron",PG,39.8,"$8,000",sac,was,away, 115-121,38:15,   23pt 4rb 8as 2st 6to 2trey 8-16fg 5-8ft,23,4,8,2,0,6,2,8,16,5,8
"Brown, Jaylen",SG,39.4,"$4,600",bos,lac,away, 115-140,31:14,   22pt 7rb 3st 3trey 9-13fg 1-2ft,22,7,0,3,0,0,3,9,13,1,2
"Satoransky, Tomas",PG,37.7,"$6,300",was,sac,home, 121-115,36:59,   17pt 6rb 7as 2st 3to 3trey 5-9fg 4-5ft,17,6,7,2,0,3,3,5,9,4,5
"Irving, Kyrie",PG,35.9,"$9,800",bos,lac,away, 115-140,33:44,   18pt 2rb 11as 1st 4to 2trey 8-17fg,18,2,11,1,0,4,2,8,17,0,0
"Schroder, Dennis",SG,35.9,"$5,300",okc,uta,away, 98-89,30:10,   24pt 7rb 3as 1to 2trey 10-18fg 2-3ft,24,7,3,0,0,1,2,10,18,2,3
"Rozier, Terry",PG,32.4,"$6,200",bos,lac,away, 115-140,25:44,   26pt 2rb 2as 1st 2to 6trey 10-14fg,26,2,2,1,0,2,6,10,14,0,0
"Lowry, Kyle",PG,32,"$8,500",tor,cle,away, 101-126,29:34,   14pt 5rb 6as 1st 1bl 3to 4trey 5-8fg,14,5,6,1,1,3,4,5,8,0,0
"Crabbe, Allen",SG,32,"$3,800",bkn,det,home, 103-75,34:48,   14pt 10rb 4as 4trey 5-8fg 0-1ft,14,10,4,0,0,0,4,5,8,0,1
"Russell, D'Angelo",SG,30.1,"$8,600",bkn,det,home, 103-75,24:11,   11pt 3rb 7as 2st 1bl 4to 1trey 5-13fg 0-2ft,11,3,7,2,1,4,1,5,13,0,2
"Gordon, Eric",SG,29.9,"$5,400",hou,cha,home, 118-106,33:08,   22pt 2rb 3as 1bl 2to 5trey 7-14fg 3-4ft,22,2,3,0,1,2,5,7,14,3,4
"Stauskas, Nik",SG,28.7,"$3,500",cle,tor,home, 126-101,23:48,   8pt 6rb 5as 2st 2trey 2-7fg 2-2ft,8,6,5,2,0,0,2,2,7,2,2
"Knight, Brandon",PG,28.7,"$3,500",cle,tor,home, 126-101,23:35,   12pt 1rb 5as 3st 1to 2trey 4-9fg 2-2ft,12,1,5,3,0,1,2,4,9,2,2
"Beverley, Patrick",PG,28,"$6,200",lac,bos,home, 140-115,31:00,   11pt 5rb 6as 1bl 1to 2trey 4-8fg 1-1ft,11,5,6,0,1,1,2,4,8,1,1
