Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Harden, James",SG,60.8,"$11,200",hou,gsw,home, 126-121,45:26,   41pt 9rb 6as 1st 3to 5trey 14-32fg 8-8ft,41,9,6,1,0,3,5
"Iguodala, Andre",SG,38.5,"$5,700",gsw,hou,away, 121-126,40:43,   16pt 5rb 3as 1st 3bl 3trey 6-9fg 1-2ft,16,5,3,1,3,0,3
"Paul, Chris",PG,38.1,"$8,300",hou,gsw,home, 126-121,43:48,   14pt 8rb 7as 1st 1bl 2to 1trey 4-8fg 5-6ft,14,8,7,1,1,2,1
"Gordon, Eric",SG,36.4,"$5,200",hou,gsw,home, 126-121,45:15,   30pt 2rb 2as 1st 1bl 5to 7trey 11-20fg 1-2ft,30,2,2,1,1,5,7
"Thompson, Klay",SG,35.6,"$6,500",gsw,hou,away, 121-126,45:50,   16pt 8rb 2as 3st 2to 2trey 6-16fg 2-2ft,16,8,2,3,0,2,2
"Curry, Stephen",PG,29.6,"$9,000",gsw,hou,away, 121-126,44:30,   17pt 3rb 4as 2st 3to 2trey 7-23fg 1-3ft,17,3,4,2,0,3,2
"Rivers, Austin",SG,15.8,"$3,600",hou,gsw,home, 126-121,27:46,   8pt 4rb 1bl 2trey 3-6fg,8,4,0,0,1,0,2
"Shumpert, Iman",SG,11.4,"$3,500",hou,gsw,home, 126-121,18:18,   10pt 2rb 1to 3trey 3-5fg 1-2ft,10,2,0,0,0,1,3
"Livingston, Shaun",PG,8.4,"$3,500",gsw,hou,away, 121-126,11:26,   3pt 2rb 2as 1-1fg 1-2ft,3,2,2,0,0,0,0
"Evans III, Jacob",SG,0,"$3,500",gsw,hou,away, 121-126,DNP,   ,0,0,0,0,0,0,0
"Cook, Quinn",PG,0,"$3,500",gsw,hou,away, 121-126,DNP,   ,0,0,0,0,0,0,0
"Chiozza, Chris",PG,0,"$3,500",hou,gsw,home, 126-121,NA,   ,0,0,0,0,0,0,0
"Durant, Kevin",SF,58.6,"$10,500",gsw,hou,away, 121-126,49:35,   46pt 3rb 6as 6trey 14-31fg 12-12ft,46,3,6,0,0,0,6
"Green, Draymond",PF,51.2,"$8,200",gsw,hou,away, 121-126,44:30,   19pt 11rb 10as 2bl 2to 1trey 6-10fg 6-8ft,19,11,10,0,2,2,1
"Tucker, P.J.",PF,30.9,"$5,900",hou,gsw,home, 126-121,33:52,   7pt 12rb 3as 2bl 1to 3-9fg 1-1ft,7,12,3,0,2,1,0
"Looney, Kevon",PF,5.2,"$3,900",gsw,hou,away, 121-126,13:26,   2pt 1rb 1bl 1to 1-1fg,2,1,0,0,1,1,0
"Green, Gerald",SF,3.6,"$3,500",hou,gsw,home, 126-121,6:49,   0pt 3rb 0-3fg,0,3,0,0,0,0,0
"McKinnie, Alfonzo",SF,3.2,"$3,500",gsw,hou,away, 121-126,7:54,   2pt 1rb 1-3fg,2,1,0,0,0,0,0
"Jerebko, Jonas",PF,0,"$3,500",gsw,hou,away, 121-126,4:10,   0pt 0-1fg,0,0,0,0,0,0,0
"Clark, Gary",SF,0,"$3,500",hou,gsw,home, 126-121,DNP,   ,0,0,0,0,0,0,0
"House, Danuel",SF,0,"$3,600",hou,gsw,home, 126-121,DNP,   ,0,0,0,0,0,0,0
"Hartenstein, Isaiah",PF,0,"$3,500",hou,gsw,home, 126-121,DNP,   ,0,0,0,0,0,0,0
"Faried, Kenneth",PF,0,"$3,600",hou,gsw,home, 126-121,DNP,   ,0,0,0,0,0,0,0
"Capela, Clint",C,33.7,"$7,500",hou,gsw,home, 126-121,34:53,   13pt 11rb 1as 1st 1bl 6-9fg 1-4ft,13,11,1,1,1,0,0
"Hilario, Nene",C,8.3,"$3,700",hou,gsw,home, 126-121,8:53,   3pt 4rb 1as 1to 1-1fg 1-3ft,3,4,1,0,0,1,0
