Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Doncic, Luka",PG,66.2,"$12,100",dal,hou,away, 137-123,34:26,   41pt 6rb 10as 2st 1bl 6to 5trey 15-29fg 6-8ft,41,6,10,2,1,6,5
"Harden, James",SG,56.3,"$11,500",hou,dal,home, 123-137,41:17,   32pt 9rb 11as 1st 6to 2trey 11-24fg 8-10ft,32,9,11,1,0,6,2
"Westbrook, Russell",PG,41,"$8,800",hou,dal,home, 123-137,37:44,   27pt 5rb 6as 1st 4to 2trey 8-20fg 9-10ft,27,5,6,1,0,4,2
"Dinwiddie, Spencer",SG,40.8,"$7,900",bkn,nyk,away, 103-101,35:02,   30pt 4rb 4as 3trey 7-17fg 13-14ft,30,4,4,0,0,0,3
"Murray, Jamal",PG,37.9,"$7,200",den,pho,home, 116-104,34:20,   22pt 7rb 3as 1st 4trey 9-21fg,22,7,3,1,0,0,4
"Bogdanovic, Bogdan",SG,33.8,"$7,300",sac,was,away, 113-106,27:40,   21pt 4rb 4as 1st 1to 3trey 7-16fg 4-6ft,21,4,4,1,0,1,3
"Beal, Bradley",SG,33.6,"$10,200",was,sac,home, 106-113,41:11,   20pt 3rb 8as 2to 2trey 8-18fg 2-2ft,20,3,8,0,0,2,2
"Holiday, Jrue",SG,30.4,"$8,600",nor,lac,away, 109-134,35:49,   18pt 7rb 4as 2to 2trey 7-15fg 2-2ft,18,7,4,0,0,2,2
"Beverley, Patrick",PG,29.4,"$5,600",lac,nor,home, 134-109,29:46,   10pt 7rb 4as 2bl 1to 2trey 4-5fg,10,7,4,0,2,1,2
"Okobo, Elie",SG,27.4,"$3,700",pho,den,away, 104-116,28:25,   16pt 2rb 4as 1st 3trey 6-11fg 1-2ft,16,2,4,1,0,0,3
"Williams, Louis",SG,26.6,"$6,900",lac,nor,home, 134-109,24:56,   19pt 3rb 4as 2to 2trey 6-11fg 5-7ft,19,3,4,0,0,2,2
"Joseph, Cory",PG,25.9,"$4,900",sac,was,away, 113-106,35:45,   10pt 2rb 5as 2st 5-10fg,10,2,5,2,0,0,0
"Hield, Buddy",SG,25.9,"$7,500",sac,was,away, 113-106,36:10,   18pt 2rb 5as 2to 3trey 4-14fg 7-7ft,18,2,5,0,0,2,3
"McRae, Jordan",SG,22.6,"$3,500",was,sac,home, 106-113,23:47,   12pt 3rb 4as 1st 2to 1trey 4-9fg 3-3ft,12,3,4,1,0,2,1
"Thomas, Isaiah",PG,22.4,"$5,300",was,sac,home, 106-113,29:15,   17pt 2rb 2as 1bl 3to 4trey 6-11fg 1-1ft,17,2,2,0,1,3,4
"Ball, Lonzo",PG,22.3,"$6,000",nor,lac,away, 109-134,21:05,   9pt 4rb 5as 1st 2to 1trey 4-13fg,9,4,5,1,0,2,1
"Smith Jr., Dennis",PG,21.9,"$3,500",nyk,bkn,home, 101-103,20:22,   10pt 2rb 5as 1st 1to 2trey 4-11fg,10,2,5,1,0,1,2
"McGruder, Rodney",SG,21,"$3,500",lac,nor,home, 134-109,16:42,   9pt 5rb 4as 1trey 4-6fg,9,5,4,0,0,0,1
"Wright, Delon",SG,20.3,"$4,700",dal,hou,away, 137-123,22:26,   9pt 4rb 5as 1to 4-11fg 1-1ft,9,4,5,0,0,1,0
"Redick, J.J.",SG,19.8,"$5,200",nor,lac,away, 109-134,24:37,   12pt 4rb 2as 2trey 4-9fg 2-2ft,12,4,2,0,0,0,2
"Ntilikina, Frank",PG,19.1,"$4,400",nyk,bkn,home, 101-103,31:53,   8pt 3rb 5as 1trey 3-11fg 1-1ft,8,3,5,0,0,0,1
"Morris, Monte",PG,18.6,"$3,700",den,pho,home, 116-104,13:40,   10pt 3rb 4as 1to 1trey 4-5fg 1-3ft,10,3,4,0,0,1,1
"Ellington, Wayne",SG,18.6,"$3,500",nyk,bkn,home, 101-103,28:19,   12pt 3rb 2as 4trey 4-8fg,12,3,2,0,0,0,4
"Smith, Ishmael",PG,18.5,"$4,400",was,sac,home, 106-113,24:07,   7pt 5rb 3as 1st 2to 1trey 3-9fg,7,5,3,1,0,2,1
"Temple, Garrett",SG,18,"$5,300",bkn,nyk,away, 103-101,35:59,   12pt 2st 4trey 4-9fg 0-1ft,12,0,0,2,0,0,4
