Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Harden, James",NA,51.9,N/A,hou,,home, 140-,21:15,   10pt 12rb 17as 1st 2bl 7to 2trey 2-7fg 4-4ft,10,12,17,1,2,7,2
"Motiejunas, Donatas",NA,47.7,N/A,,hou,away, 71-140,38:06,   27pt 11rb 3as 3st 6to 2trey 12-23fg 1-4ft,27,11,3,3,0,6,2
"Capela, Clint",NA,43,N/A,hou,,home, 140-,18:35,   25pt 10rb 2bl 11-13fg 3-5ft,25,10,0,0,2,0,0
"Green, Gerald",NA,36.9,N/A,hou,,home, 140-,17:45,   21pt 2rb 1as 1st 3bl 5trey 7-8fg 2-2ft,21,2,1,1,3,0,5
"Nunnally, James",NA,27.9,N/A,,hou,away, 71-140,39:21,   16pt 7rb 3as 1to 3trey 4-23fg 5-7ft,16,7,3,0,0,1,3
"Clemons, Chris",NA,27.4,N/A,hou,,home, 140-,18:42,   21pt 2rb 4as 2to 5trey 7-16fg 2-2ft,21,2,4,0,0,2,5
"Clark, Gary",NA,26,N/A,hou,,home, 140-,24:00,   8pt 10rb 2as 1st 1trey 3-9fg 1-2ft,8,10,2,1,0,0,1
"McLemore, Ben",NA,23.6,N/A,hou,,home, 140-,23:07,   17pt 3rb 2as 5trey 6-16fg,17,3,2,0,0,0,5
"Blossomgame, Jaron",NA,22.4,N/A,hou,,home, 140-,15:04,   6pt 12rb 2as 1to 3-6fg,6,12,2,0,0,1,0
"House, Danuel",NA,22.2,N/A,hou,,home, 140-,15:11,   8pt 6rb 2as 1st 1bl 2to 4-7fg,8,6,2,1,1,2,0
"Gordon, Eric",NA,16.5,N/A,hou,,home, 140-,15:11,   9pt 3as 1bl 3trey 3-8fg,9,0,3,0,1,0,3
"Anderson, Ryan",NA,15.3,N/A,hou,,home, 140-,15:09,   0pt 4rb 3as 1st 1bl 0-2fg,0,4,3,1,1,0,0
"Sefolosha, Thabo",NA,13.1,N/A,hou,,home, 140-,13:39,   3pt 3rb 3as 1st 1to 1trey 1-1fg,3,3,3,1,0,1,1
"Rivers, Austin",NA,12.7,N/A,hou,,home, 140-,23:30,   2pt 1rb 3as 2st 1to 0-3fg 2-2ft,2,1,3,2,0,1,0
"Hartenstein, Isaiah",NA,12.4,N/A,hou,,home, 140-,6:45,   7pt 2rb 1bl 3-5fg 1-2ft,7,2,0,0,1,0,0
"Tucker, P.J.",NA,6,N/A,hou,,home, 140-,12:07,   3pt 1st 1trey 1-3fg,3,0,0,1,0,0,1
