Name,Position,FDPoints,Salary,Team,Opp.,Score,Min,stats
"Lillard, Damian",PG,55.8,"$9,700",por,v okc, 114-94,36:42,   29pt 4rb 6as 3st 2bl 2to 4trey 10-21fg 5-7ft
"McCollum, C.J.",SG,50.1,"$6,900",por,v okc, 114-94,36:15,   33pt 8rb 5as 1st 3to 3trey 12-22fg 6-6ft
"DeRozan, DeMar",SG,47.4,"$8,500",sas,@ den, 105-114,32:42,   31pt 7rb 2as 2st 1to 11-19fg 9-9ft
"Lowry, Kyle",PG,44.3,"$7,800",tor,v orl, 111-82,37:36,   22pt 4rb 7as 2st 1bl 2to 2trey 8-13fg 4-5ft
"Westbrook, Russell",PG,38.3,"$12,100",okc,@ por, 94-114,37:06,   14pt 9rb 11as 1st 6to 1trey 5-20fg 3-3ft
"Murray, Jamal",PG,35.4,"$7,700",den,v sas, 114-105,36:35,   24pt 2rb 4as 1st 2trey 8-17fg 6-7ft
"Harris, Gary",SG,30.5,"$4,600",den,v sas, 114-105,35:03,   23pt 5rb 1as 3trey 10-16fg 0-1ft
"Morris, Monte",SG,24.2,"$4,000",den,v sas, 114-105,23:31,   11pt 1rb 6as 1st 5-10fg 1-1ft
"White, Derrick",PG,21.8,"$5,800",sas,@ den, 105-114,31:56,   17pt 4rb 1bl 3to 1trey 7-11fg 2-2ft
"Augustin, D.J.",PG,21.2,"$6,200",orl,@ tor, 82-111,23:28,   9pt 1rb 4as 1st 1bl 1to 1-6fg 7-7ft
"Ross, Terrence",SG,20.6,"$6,100",orl,@ tor, 82-111,27:03,   15pt 3rb 1bl 1to 3trey 5-10fg 2-5ft
"Fournier, Evan",SG,20.5,"$5,600",orl,@ tor, 82-111,31:44,   10pt 5rb 3as 1st 3to 2trey 4-12fg
"Carter-Williams, Michael",PG,19.8,"$4,100",orl,@ tor, 82-111,24:32,   8pt 9rb 2as 2to 4-9fg 0-1ft
"Forbes, Bryn",PG,16.3,"$4,700",sas,@ den, 105-114,26:20,   5pt 4rb 3as 1st 1to 1trey 2-6fg
"Beasley, Malik",SG,16.1,"$3,900",den,v sas, 114-105,23:16,   8pt 3rb 3as 2trey 3-7fg
"Mills, Patty",PG,15.1,"$3,700",sas,@ den, 105-114,20:20,   5pt 3rb 5as 1to 1trey 2-5fg
"Green, Danny",SG,12.2,"$4,700",tor,v orl, 111-82,22:21,   0pt 6rb 2as 1bl 1to 0-4fg
"Felton, Raymond",PG,12,"$3,500",okc,@ por, 94-114,14:44,   1pt 2as 2st 1bl 1to 0-3fg 1-2ft
"VanVleet, Fred",PG,11,"$4,800",tor,v orl, 111-82,21:13,   2pt 4as 1bl 1-5fg
"Belinelli, Marco",SG,10.7,"$3,500",sas,@ den, 105-114,22:32,   8pt 1rb 1as 1trey 3-5fg 1-1ft
"Curry, Seth",PG,10.5,"$3,700",por,v okc, 114-94,18:06,   9pt 1as 3trey 3-5fg
"Schroder, Dennis",SG,10.2,"$5,200",okc,@ por, 94-114,20:56,   7pt 1rb 2as 1to 2-5fg 3-4ft
