Name,Position,FDPoints,Salary,Team,Opp.,Score,Min,stats
"Lamb, Jeremy",SG,55.7,"$5,700",cha,@ atl, 129-120,36:24,   24pt 6rb 7as 3st 2bl 1to 4trey 8-14fg 4-4ft
"Westbrook, Russell",PG,50.9,"$12,100",okc,@ hou, 117-112,38:24,   21pt 12rb 11as 2st 1bl 10to 1trey 8-21fg 4-5ft
"Beal, Bradley",SG,49.4,"$9,500",was,@ chi, 134-125,34:07,   31pt 2rb 4as 4st 2to 1trey 13-21fg 4-4ft
"Walker, Kemba",PG,48.7,"$10,000",cha,@ atl, 129-120,36:57,   37pt 1rb 7as 1st 3to 9trey 13-27fg 2-2ft
"Paul, Chris",PG,47.5,"$7,800",hou,v okc, 112-117,34:55,   18pt 10rb 9as 2st 2to 2trey 5-12fg 6-7ft
"Lowry, Kyle",PG,44.3,"$8,000",tor,@ nyk, 104-99,33:55,   22pt 4rb 5as 2st 2bl 2to 5trey 6-10fg 5-6ft
"Harden, James",SG,43.9,"$13,600",hou,v okc, 112-117,37:12,   42pt 2rb 1as 1st 5to 6trey 11-28fg 14-15ft
"Mitchell, Donovan",SG,43.5,"$8,600",uta,v sas, 125-105,39:03,   23pt 5rb 5as 3st 2to 2trey 9-22fg 3-4ft
"LaVine, Zach",SG,39.8,"$7,700",chi,v was, 125-134,35:34,   26pt 4rb 6as 1st 3to 11-17fg 4-5ft
"Young, Trae",PG,39.7,"$7,300",atl,v cha, 120-129,28:12,   20pt 1rb 11as 2st 4to 4trey 8-15fg
"Joseph, Cory",PG,38.8,"$4,900",ind,v cle, 105-90,30:49,   10pt 9rb 10as 1st 5-7fg 0-2ft
"Bledsoe, Eric",PG,38.7,"$8,200",mil,v orl, 83-103,29:13,   19pt 11rb 5as 1to 2trey 7-13fg 3-6ft
"Beverley, Patrick",PG,37.3,"$5,100",lac,@ bos, 123-112,31:13,   12pt 9rb 7as 2st 2to 2trey 3-7fg 4-4ft
"Collison, Darren",PG,35.7,"$6,700",ind,v cle, 105-90,33:59,   18pt 1rb 9as 1st 1trey 8-14fg 1-2ft
"Smith Jr., Dennis",PG,34.8,"$6,500",nyk,v tor, 99-104,30:24,   13pt 4rb 6as 3st 1to 1trey 4-17fg 4-6ft
"Allen, Kadeem",PG,33.8,"$3,600",nyk,v tor, 99-104,27:46,   14pt 4rb 6as 2st 2trey 5-11fg 2-4ft
"Middleton, Khris",SG,33.4,"$6,500",mil,v orl, 83-103,32:16,   11pt 12rb 4as 1st 1to 4-17fg 3-3ft
"Rubio, Ricky",PG,32.2,"$6,500",uta,v sas, 125-105,26:46,   16pt 6rb 6as 1trey 7-13fg 1-2ft
"Holiday, Jrue",SG,31.9,"$9,300",nor,@ mem, 90-99,29:41,   15pt 7rb 5as 1st 2to 1trey 7-14fg 0-2ft
"DeRozan, DeMar",SG,31.9,"$8,100",sas,@ uta, 105-125,35:10,   23pt 2rb 5as 1st 4to 10-19fg 3-3ft
"Rozier, Terry",PG,31.5,"$7,000",bos,v lac, 112-123,31:11,   16pt 5rb 3as 2st 1to 2trey 6-12fg 2-2ft
"Conley, Mike",PG,30.7,"$9,100",mem,v nor, 99-90,32:28,   11pt 6rb 9as 1to 3-11fg 5-5ft
"Clarkson, Jordan",SG,30.4,"$5,600",cle,@ ind, 90-105,31:16,   18pt 2rb 6as 1st 2to 2trey 8-16fg
"Gilgeous-Alexander, Shai",PG,30.3,"$5,900",lac,@ bos, 123-112,25:49,   14pt 4rb 5as 2st 1bl 5to 1trey 5-8fg 3-4ft
"Satoransky, Tomas",PG,29.9,"$7,000",was,@ chi, 134-125,28:50,   7pt 7rb 11as 2to 3-8fg 1-1ft
"Dunn, Kris",PG,27.8,"$7,200",chi,v was, 125-134,32:33,   6pt 4rb 8as 3st 4to 3-6fg
"Williams, Louis",SG,27.6,"$7,900",lac,@ bos, 123-112,28:17,   15pt 3rb 6as 1bl 3to 1trey 4-15fg 6-10ft
"Gordon, Eric",SG,27,"$4,700",hou,v okc, 112-117,32:08,   13pt 2as 1st 3bl 1to 3trey 5-14fg
"Shamet, Landry",PG,26.9,"$3,500",lac,@ bos, 123-112,26:40,   17pt 2rb 3as 1st 4trey 5-9fg 3-4ft
"Lin, Jeremy",PG,26.4,"$3,800",atl,v cha, 120-129,19:48,   13pt 2rb 4as 2st 1to 1trey 5-9fg 2-2ft
