Name,Position,FDPoints,Salary,Team,Opp.,Score,Min,stats
"Smart, Marcus",SG,52.9,"$5,100",bos,v bkn, 112-104,32:58,   21pt 2rb 7as 5st 2bl 2to 4trey 7-15fg 3-4ft
"Conley, Mike",PG,44.3,"$8,300",mem,v den, 92-95,36:34,   23pt 4rb 11as 1st 3to 3trey 8-16fg 4-6ft
"Beverley, Patrick",PG,43,"$4,600",lac,v atl, 118-123,38:01,   10pt 10rb 6as 3st 1bl 1-5fg 8-8ft
"Young, Trae",PG,41.8,"$7,200",atl,@ lac, 123-118,31:11,   26pt 4rb 8as 1to 2trey 10-18fg 4-4ft
"Curry, Stephen",PG,40.7,"$9,600",gsw,@ ind, 132-100,26:49,   26pt 6rb 3as 2st 3to 6trey 10-13fg
"Williams, Louis",SG,39.1,"$7,100",lac,v atl, 118-123,31:01,   21pt 3rb 9as 2st 5to 1trey 4-17fg 12-12ft
"Rozier, Terry",PG,37.9,"$4,500",bos,v bkn, 112-104,35:15,   14pt 7rb 7as 2st 1to 2trey 6-15fg
"Russell, D'Angelo",SG,37.4,"$8,400",bkn,@ bos, 104-112,23:32,   25pt 2rb 4as 3st 5to 4trey 10-20fg 1-1ft
"Lamb, Jeremy",SG,36.3,"$5,900",cha,v nyk, 101-92,27:12,   15pt 9rb 3as 1st 1bl 1trey 6-12fg 2-2ft
"Iguodala, Andre",SG,36.2,"$4,300",gsw,@ ind, 132-100,27:02,   6pt 6rb 8as 1st 3bl 1to 2-2fg 2-2ft
"Hardaway Jr., Tim",SG,34,"$6,000",nyk,@ cha, 92-101,31:20,   17pt 10rb 4as 1to 2trey 7-12fg 1-2ft
"Walker, Kemba",PG,32.5,"$9,200",cha,v nyk, 101-92,35:36,   14pt 5rb 5as 2bl 1to 2trey 5-16fg 2-2ft
"Napier, Shabazz",PG,31.9,"$4,900",bkn,@ bos, 104-112,26:29,   20pt 2rb 5as 2st 4to 4trey 6-16fg 4-6ft
"Brown, Jaylen",SG,31.2,"$4,500",bos,v bkn, 112-104,31:30,   21pt 6rb 2as 3trey 9-16fg
"Beasley, Malik",SG,29.1,"$4,100",den,@ mem, 95-92,24:23,   18pt 3rb 3as 1st 3trey 7-14fg 1-2ft
"Craig, Torrey",SG,24.8,"$4,700",den,@ mem, 95-92,20:40,   5pt 4rb 2as 3st 1bl 1trey 2-4fg
"Thompson, Klay",SG,23.4,"$7,100",gsw,@ ind, 132-100,31:09,   16pt 2rb 2as 1st 1to 2trey 7-16fg 0-1ft
"Cook, Quinn",PG,23.2,"$3,500",gsw,@ ind, 132-100,21:11,   7pt 6rb 4as 1st 1trey 3-8fg
"Huerter, Kevin",SG,22.8,"$4,600",atl,@ lac, 123-118,30:07,   5pt 4rb 4as 2st 1bl 2to 1trey 2-10fg
"Collison, Darren",PG,22,"$6,700",ind,v gsw, 100-132,24:51,   13pt 8as 3to 2trey 5-9fg 1-2ft
"Livingston, Shaun",PG,21.4,"$3,600",gsw,@ ind, 132-100,13:58,   4pt 2rb 4as 1st 2bl 2-3fg
"Parker, Tony",PG,21.2,"$3,700",cha,v nyk, 101-92,19:05,   15pt 1rb 4as 1to 1trey 6-13fg 2-3ft
"Gilgeous-Alexander, Shai",PG,20.4,"$3,800",lac,v atl, 118-123,24:27,   11pt 2rb 2as 2st 2to 1trey 5-7fg
"Allen, Kadeem",PG,18.5,"$3,500",nyk,@ cha, 92-101,18:07,   8pt 5rb 3as 4-8fg
"Holiday, Aaron",SG,18.4,"$3,700",ind,v gsw, 100-132,22:14,   12pt 2rb 4as 2to 4trey 4-8fg
"Monk, Malik",SG,17.9,"$3,700",cha,v nyk, 101-92,22:24,   14pt 2rb 3as 3to 4trey 5-12fg
"Burke, Trey",PG,17.9,"$4,500",nyk,@ cha, 92-101,24:41,   9pt 2rb 3as 1bl 1to 1trey 4-11fg
"Sumner, Edmond",PG,17.6,"$3,500",ind,v gsw, 100-132,28:17,   2pt 3rb 2st 2bl 1-10fg
"Lin, Jeremy",PG,17.4,"$4,600",atl,@ lac, 123-118,24:12,   13pt 2rb 4as 4to 1trey 3-8fg 6-7ft
"Trier, Allonzo",SG,15.1,"$5,300",nyk,@ cha, 92-101,21:00,   7pt 3rb 3as 0-7fg 7-8ft
"Mack, Shelvin",PG,13.6,"$3,700",mem,v den, 92-95,18:05,   3pt 3rb 6as 2to 1trey 1-4fg
"Bradley, Avery",SG,13.4,"$3,900",lac,v atl, 118-123,29:28,   12pt 2rb 1to 4trey 4-10fg
"Joseph, Cory",PG,12.7,"$4,600",ind,v gsw, 100-132,20:38,   6pt 1rb 5as 2to 2-6fg 2-2ft
"Morris, Monte",SG,11.9,"$4,100",den,@ mem, 95-92,24:35,   9pt 2rb 1as 1to 1trey 4-8fg
"Dotson, Damyean",SG,11.4,"$3,800",nyk,@ cha, 92-101,14:11,   3pt 2rb 2st 1trey 1-3fg 0-1ft
"Holiday, Justin",SG,10.7,"$4,900",mem,v den, 92-95,40:04,   9pt 1rb 1as 1to 2trey 3-9fg 1-1ft
"Lee, Damion",SG,10.6,"$3,500",gsw,@ ind, 132-100,7:01,   7pt 3rb 1trey 3-5fg
"Robinson, Jerome",PG,6.6,"$3,500",lac,v atl, 118-123,14:08,   3pt 3rb 1trey 1-2fg 0-1ft
