Name,Position,FDPoints,Salary,Team,Opp.,Score,Min,stats
"Leonard, Kawhi",NA,68.4,N/A,tor,@ gsw, 105-92,40:34,   36pt 12rb 2as 4st 1bl 5trey 11-22fg 9-9ft
"Green, Draymond",NA,42.8,N/A,gsw,v tor, 92-105,40:34,   10pt 9rb 12as 1st 2bl 5to 3-6fg 4-4ft
"Curry, Stephen",NA,40.8,N/A,gsw,v tor, 92-105,42:59,   27pt 4rb 6as 1st 3to 2trey 9-22fg 7-8ft
"Thompson, Klay",NA,34.6,N/A,gsw,v tor, 92-105,42:10,   28pt 3rb 2as 6trey 11-18fg
"Ibaka, Serge",NA,31.3,N/A,tor,@ gsw, 105-92,21:43,   20pt 4rb 1as 2bl 1to 1trey 9-12fg 1-1ft
"Lowry, Kyle",NA,29.9,N/A,tor,@ gsw, 105-92,37:18,   10pt 2rb 7as 3st 2to 3-12fg 4-4ft
"Siakam, Pascal",NA,28.5,N/A,tor,@ gsw, 105-92,41:20,   19pt 5rb 1as 1bl 1to 6-14fg 7-8ft
"Iguodala, Andre",NA,25.3,N/A,gsw,v tor, 92-105,37:57,   3pt 4rb 3as 3st 2bl 2to 1-6fg 1-2ft
"Gasol, Marc",NA,23.9,N/A,tor,@ gsw, 105-92,27:49,   9pt 7rb 3as 1st 1to 1trey 3-8fg 2-2ft
"VanVleet, Fred",NA,19.8,N/A,tor,@ gsw, 105-92,28:56,   8pt 4rb 6as 2to 2trey 3-9fg
"Looney, Kevon",NA,17.7,N/A,gsw,v tor, 92-105,20:24,   10pt 6rb 1as 1to 5-8fg 0-2ft
"Green, Danny",NA,15.1,N/A,tor,@ gsw, 105-92,29:44,   3pt 3rb 1as 3st 2to 1trey 1-8fg
"Cousins, DeMarcus",NA,14.3,N/A,gsw,v tor, 92-105,14:48,   6pt 4rb 1as 2bl 4to 3-6fg 0-1ft
"Livingston, Shaun",NA,13.1,N/A,gsw,v tor, 92-105,15:11,   6pt 3rb 1as 1st 1to 2-3fg 2-2ft
"Bogut, Andrew",NA,6.2,N/A,gsw,v tor, 92-105,10:47,   0pt 6rb 1to
"Powell, Norman",NA,5.7,N/A,tor,@ gsw, 105-92,10:42,   0pt 1rb 1as 1st 0-1fg
"McKinnie, Alfonzo",NA,4.4,N/A,gsw,v tor, 92-105,8:30,   2pt 2rb 1-4fg 0-2ft
"Cook, Quinn",NA,1.2,N/A,gsw,v tor, 92-105,6:40,   0pt 1rb 0-5fg
