Name,Position,FDPoints,Salary,Team,Opp.,Score,Min,stats
"Booker, Devin",SG,69,"$10,700",pho,v was, 121-124,36:54,   50pt 10rb 4as 1st 1bl 5to 3trey 19-29fg 9-10ft
"Curry, Stephen",PG,58.5,"$9,300",gsw,@ mem, 118-103,33:23,   28pt 10rb 7as 1st 2bl 1to 6trey 7-20fg 8-9ft
"Westbrook, Russell",PG,55.2,"$11,200",okc,v ind, 107-99,36:51,   17pt 11rb 12as 2st 1bl 2to 2trey 6-15fg 3-4ft
"Harrison, Shaquille",PG,42,"$4,800",chi,v por, 98-118,29:57,   21pt 10rb 2as 2st 1trey 10-17fg 0-1ft
"Beal, Bradley",SG,40.4,"$10,000",was,@ pho, 124-121,36:52,   28pt 2rb 4as 1st 1bl 2to 5trey 11-22fg 1-4ft
"Conley, Mike",PG,34.2,"$9,000",mem,v gsw, 103-118,32:09,   22pt 1rb 8as 1to 2trey 6-14fg 8-10ft
"Selden, Wayne",SG,32.4,"$3,600",chi,v por, 98-118,33:52,   11pt 12rb 4as 1st 2to 1trey 5-15fg
"Crawford, Jamal",SG,29.1,"$3,500",pho,v was, 121-124,29:42,   12pt 3rb 7as 1bl 2trey 4-11fg 2-3ft
"Holiday, Justin",SG,28.8,"$4,400",mem,v gsw, 103-118,35:28,   9pt 4rb 5st 3trey 3-10fg 0-1ft
"Rubio, Ricky",PG,28,"$6,800",uta,v lal, 115-100,28:38,   10pt 5rb 8as 3-9fg 4-5ft
"Lillard, Damian",PG,27.7,"$11,000",por,@ chi, 118-98,28:27,   11pt 6rb 7as 1to 1trey 3-12fg 4-4ft
"Satoransky, Tomas",PG,26.2,"$6,900",was,@ pho, 124-121,38:23,   16pt 1rb 2as 3st 3to 3-5fg 10-12ft
"Curry, Seth",PG,24.6,"$4,900",por,@ chi, 118-98,23:54,   20pt 3rb 2as 2to 4trey 8-11fg
"McRae, Jordan",SG,24.6,"$3,500",was,@ pho, 124-121,24:53,   21pt 3rb 8-10fg 5-5ft
"Matthews, Wes",SG,23.1,"$4,400",ind,@ okc, 99-107,31:59,   10pt 3rb 3as 1st 1bl 1to 2trey 4-15fg
"Wright, Delon",SG,22.9,"$6,200",mem,v gsw, 103-118,25:00,   5pt 2rb 5as 3st 1to 2-10fg 1-2ft
"Caruso, Alex",PG,22.2,"$4,200",lal,@ uta, 100-115,26:11,   13pt 1rb 4as 1st 1to 2trey 5-10fg 1-2ft
"Daniels, Troy",SG,21,"$3,500",pho,v was, 121-124,22:06,   15pt 5rb 5trey 5-12fg
"Collison, Darren",PG,20.6,"$6,600",ind,@ okc, 99-107,24:22,   8pt 3rb 6as 1st 3to 2trey 3-10fg
"Rondo, Rajon",PG,20,"$6,500",lal,@ uta, 100-115,25:54,   3pt 5rb 6as 1st 1to 1trey 1-11fg
"Mitchell, Donovan",SG,19.8,"$9,000",uta,v lal, 115-100,34:31,   11pt 4rb 4as 2to 1trey 3-11fg 4-6ft
"Blakeney, Antonio",SG,18.6,"$3,500",chi,v por, 98-118,32:24,   10pt 3rb 4as 1to 3-11fg 4-6ft
"Dorsey, Tyler",SG,18.2,"$5,000",mem,v gsw, 103-118,29:54,   8pt 6rb 2as 1trey 3-9fg 1-1ft
"Thompson, Klay",SG,17.2,"$7,900",gsw,@ mem, 118-103,35:05,   13pt 1rb 2as 3trey 5-12fg
"Arcidiacono, Ryan",PG,16.5,"$3,600",chi,v por, 98-118,19:26,   12pt 3as 2trey 5-11fg
"Melton, De'Anthony",PG,16.4,"$3,500",pho,v was, 121-124,21:37,   4pt 2rb 4as 2st 2to 2-4fg
"Livingston, Shaun",PG,16.1,"$3,500",gsw,@ mem, 118-103,14:20,   8pt 3rb 3as 4-6fg
"Caldwell-Pope, Kentavious",SG,14.8,"$5,400",lal,@ uta, 100-115,27:33,   7pt 4rb 1st 1trey 2-9fg 2-2ft
"Ferguson, Terrance",SG,14.6,"$3,700",okc,v ind, 107-99,38:22,   5pt 3rb 2as 1bl 1trey 2-9fg
"Machado, Scott",SG,14.5,"$3,500",lal,@ uta, 100-115,15:21,   7pt 3as 1st 1trey 3-4fg
"Luwawu, Timothe",SG,12.2,"$3,500",chi,v por, 98-118,21:28,   8pt 1rb 2as 1trey 3-8fg 1-1ft
"Korver, Kyle",SG,12,"$3,700",uta,v lal, 115-100,14:35,   3pt 5rb 2as 1trey 1-4fg
"Schroder, Dennis",SG,11.9,"$5,900",okc,v ind, 107-99,20:36,   3pt 2rb 3as 1st 1to 0-7fg 3-4ft
"Joseph, Cory",PG,9.3,"$4,400",ind,@ okc, 99-107,24:31,   0pt 4rb 3as 0-4fg
"Cook, Quinn",PG,9.2,"$3,500",gsw,@ mem, 118-103,15:53,   9pt 1rb 1to 3trey 3-3fg
"Neto, Raul",PG,9.2,"$3,500",uta,v lal, 115-100,13:30,   4pt 1rb 2as 1bl 2to 2-3fg
"Simons, Anfernee",SG,9,"$3,500",por,@ chi, 118-98,6:08,   9pt 1trey 4-5fg
"Iguodala, Andre",SG,7.4,"$4,100",gsw,@ mem, 118-103,20:59,   4pt 2rb 1st 2to 2-3fg
"Okobo, Elie",PG,7.4,"$3,500",pho,v was, 121-124,9:49,   3pt 2rb 1st 1to 1trey 1-2fg
"Trent Jr., Gary",SG,6.2,"$3,500",por,@ chi, 118-98,3:56,   5pt 1rb 1trey 2-4fg
"Sampson, Brandon",SG,4.2,"$3,500",chi,v por, 98-118,29:36,   4pt 1rb 1to 2-7fg
"Alkins, Rawle",SG,4.1,"$3,500",chi,v por, 98-118,16:09,   2pt 3rb 1as 3to 0-2fg 2-2ft
"Randle, Chasson",SG,3,"$3,500",was,@ pho, 124-121,13:24,   0pt 2as 0-2fg
"Carter, Jevon",PG,2.4,"$3,500",mem,v gsw, 103-118,1:00,   0pt 2rb 0-2fg
"Allen, Grayson",SG,1,"$3,500",uta,v lal, 115-100,2:27,   1pt 0-1fg 1-2ft
"Felton, Raymond",PG,0,"$3,700",okc,v ind, 107-99,DNP,   
"Bullock, Reggie",SG,0,"$3,500",lal,@ uta, 100-115,DNP,   
"Burton, Deonte",SG,0,"$3,500",okc,v ind, 107-99,DNP,   
"Bradley, Avery",SG,0,"$6,100",mem,v gsw, 103-118,DNP,   
"Sumner, Edmond",PG,0,"$3,500",ind,@ okc, 99-107,DNP,   
"Diallo, Hamidou",SG,0,"$3,500",okc,v ind, 107-99,DNP,   
"Fredette, Jimmer",SG,0,"$3,500",pho,v was, 121-124,DNP,   
"Holiday, Aaron",SG,0,"$3,600",ind,@ okc, 99-107,DNP,   
"Evans III, Jacob",SG,0,"$3,500",gsw,@ mem, 118-103,NA,   
"Reed, Davon",SG,0,"$3,500",ind,@ okc, 99-107,NA,   
