Name,Position,FDPoints,Salary,Team,Opp.,Score,Min,stats
"Butler, Jimmy",SG,47.2,"$9,400",phi,v tor, 96-101,40:02,   29pt 11rb 4as 1bl 4to 3trey 9-18fg 8-10ft
"Lillard, Damian",PG,46.1,"$9,700",por,v den, 112-116,36:07,   28pt 3rb 7as 2st 2to 2trey 9-22fg 8-11ft
"Murray, Jamal",PG,44,"$7,400",den,@ por, 116-112,37:33,   34pt 5rb 4as 2to 3trey 10-20fg 11-11ft
"McCollum, C.J.",SG,38.5,"$7,500",por,v den, 112-116,38:39,   29pt 5rb 1as 1st 1to 4trey 10-20fg 5-6ft
"Simmons, Ben",PG,31,"$8,200",phi,v tor, 96-101,38:16,   10pt 5rb 4as 2st 1bl 5-10fg 0-2ft
"Lowry, Kyle",PG,30.7,"$7,200",tor,@ phi, 101-96,41:10,   14pt 6rb 7as 1to 2trey 6-13fg
"Harris, Gary",SG,26,"$5,000",den,@ por, 116-112,36:04,   14pt 5rb 1st 1bl 6-14fg 2-2ft
"Curry, Seth",PG,20.1,"$3,500",por,v den, 112-116,26:48,   16pt 3rb 1as 1to 4trey 6-9fg
"Green, Danny",SG,19.8,"$4,400",tor,@ phi, 101-96,40:02,   11pt 4rb 2st 2to 1trey 1-4fg 8-8ft
"Beasley, Malik",SG,8.9,"$4,400",den,@ por, 116-112,13:51,   6pt 2rb 1as 1to 1trey 2-6fg 1-1ft
"Morris, Monte",SG,6.5,"$3,500",den,@ por, 116-112,10:20,   2pt 1as 1st 1-6fg
"McCaw, Patrick",SG,5.7,"$3,500",tor,@ phi, 101-96,4:49,   0pt 1rb 1as 1st 0-1fg
"Craig, Torrey",SG,4.2,"$3,700",den,@ por, 116-112,17:00,   3pt 1rb 1trey 1-4fg
"VanVleet, Fred",PG,0,"$3,700",tor,@ phi, 101-96,7:11,   0pt 0-2fg
"McConnell, T.J.",PG,0,"$3,500",phi,v tor, 96-101,DNP,   
"Simons, Anfernee",SG,0,"$3,500",por,v den, 112-116,DNP,   
"Lin, Jeremy",PG,0,"$3,500",tor,@ phi, 101-96,DNP,   
"Thomas, Isaiah",PG,0,"$3,500",den,@ por, 116-112,DNP,   
"Meeks, Jodie",SG,0,"$3,500",tor,@ phi, 101-96,DNP,   
"Korkmaz, Furkan",SG,0,"$3,500",phi,v tor, 96-101,NA,   
"Trent Jr., Gary",SG,0,"$3,500",por,v den, 112-116,NA,   
"Smith, Zhaire",SG,0,"$3,500",phi,v tor, 96-101,NA,   
"Leonard, Kawhi",SF,56.3,"$9,900",tor,@ phi, 101-96,42:49,   39pt 14rb 5as 7to 5trey 13-20fg 8-12ft
"Millsap, Paul",PF,40,"$6,900",den,@ por, 116-112,41:24,   21pt 10rb 1st 2bl 2to 2trey 6-10fg 7-8ft
"Harris, Tobias",PF,36.2,"$7,500",phi,v tor, 96-101,41:06,   16pt 6rb 4as 3st 2to 2trey 7-23fg
"Aminu, Al-Farouq",PF,33.6,"$5,300",por,v den, 112-116,35:27,   19pt 8rb 2bl 1to 1trey 6-10fg 6-7ft
"Ibaka, Serge",PF,31.8,"$5,000",tor,@ phi, 101-96,32:24,   12pt 9rb 3bl 6-12fg
"Siakam, Pascal",PF,24.6,"$7,800",tor,@ phi, 101-96,28:34,   9pt 3rb 2as 3st 2-10fg 5-6ft
"Barton, Will",SF,24.5,"$4,600",den,@ por, 116-112,29:40,   11pt 5rb 3as 1st 3trey 4-14fg
"Redick, J.J.",SF,23.6,"$4,300",phi,v tor, 96-101,35:09,   19pt 3rb 2as 2to 4trey 6-9fg 3-3ft
"Ennis, James",SF,20,"$4,700",phi,v tor, 96-101,26:17,   9pt 5rb 1st 1bl 1to 3trey 3-8fg
"Hood, Rodney",SF,14.3,"$4,600",por,v den, 112-116,23:32,   7pt 4rb 3as 2to 1trey 3-4fg
"Harkless, Maurice",SF,14,"$4,500",por,v den, 112-116,17:28,   4pt 5rb 2as 1st 2to 1-5fg 2-2ft
"Collins, Zach",PF,13.2,"$4,100",por,v den, 112-116,20:43,   4pt 1rb 2as 2bl 1to 2-5fg
"Turner, Evan",SF,7.8,"$3,600",por,v den, 112-116,11:53,   0pt 4rb 2as 0-2fg
"Scott, Mike",PF,2.9,"$3,500",phi,v tor, 96-101,13:04,   0pt 2rb 1as 1to 0-3fg
"Powell, Norman",SF,2.7,"$3,600",tor,@ phi, 101-96,3:59,   0pt 1rb 1as 0-1fg
"Lyles, Trey",PF,0,"$3,500",den,@ por, 116-112,DNP,   
"Hernangomez, Juan",SF,0,"$3,500",den,@ por, 116-112,DNP,   
"Simmons, Jonathon",SF,0,"$3,500",phi,v tor, 96-101,DNP,   
"Moreland, Eric",PF,0,"$3,500",tor,@ phi, 101-96,DNP,   
"Layman, Jake",SF,0,"$3,500",por,v den, 112-116,DNP,   
"Miller, Malcolm",PF,0,"$3,500",tor,@ phi, 101-96,DNP,   
"Bolden, Jonah",PF,0,"$3,500",phi,v tor, 96-101,DNP,   
"Johnson, Amir",PF,0,"$3,500",phi,v tor, 96-101,DNP,   
"Labissiere, Skal",PF,0,"$3,500",por,v den, 112-116,DNP,   
"Leonard, Meyers",PF,0,"$3,500",por,v den, 112-116,DNP,   
"Vanderbilt, Jarred",SF,0,"$3,500",den,@ por, 116-112,DNP,   
"Lydon, Tyler",SF,0,"$3,500",den,@ por, 116-112,NA,   
"Anunoby, OG",SF,0,"$3,500",tor,@ phi, 101-96,NA,   
"Porter, Michael",PF,0,"$3,500",den,@ por, 116-112,NA,   
"Boucher, Chris",PF,0,"$3,500",tor,@ phi, 101-96,NA,   
"Jokic, Nikola",C,54.9,"$10,600",den,@ por, 116-112,38:30,   21pt 12rb 11as 2st 3to 1trey 8-15fg 4-4ft
"Embiid, Joel",C,41.1,"$11,500",phi,v tor, 96-101,35:14,   11pt 8rb 7as 2st 2bl 2to 2-7fg 7-10ft
"Gasol, Marc",C,23.5,"$5,600",tor,@ phi, 101-96,39:02,   16pt 5rb 3as 3to 2trey 7-13fg
"Plumlee, Mason",C,17.5,"$4,300",den,@ por, 116-112,15:38,   4pt 5rb 1as 1st 1bl 2-3fg 0-2ft
"Kanter, Enes",C,16,"$7,600",por,v den, 112-116,29:23,   5pt 10rb 1bl 4to 2-5fg 1-2ft
"Monroe, Greg",C,8.6,"$3,700",phi,v tor, 96-101,10:52,   2pt 3rb 1bl 1-4fg
"Marjanovic, Boban",C,0,"$3,600",phi,v tor, 96-101,DNP,   0pt
"Nurkic, Jusuf",C,0,"$3,500",por,v den, 112-116,NA,   
