Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Lillard, Damian",PG,51.5,"$10,200",por,phi,home, 128-129,39:04,   33pt 5rb 9as 2st 7to 8trey 11-16fg 3-3ft,33,5,9,2,0,7,8,11,16fg,3,3ft
"Lowry, Kyle",PG,46.8,"$8,200",tor,mil,away, 105-115,38:02,   36pt 4rb 6as 1bl 6to 5trey 11-18fg 9-9ft,36,4,6,0,1,6,5,11,18fg,9,9ft
"Irving, Kyrie",PG,46.2,"$10,100",bkn,det,away, 109-113,33:11,   20pt 11rb 10as 2to 8-21fg 4-4ft,20,11,10,0,0,2,0,8,21fg,4,4ft
"Simmons, Ben",PG,46.2,"$9,500",phi,por,away, 129-128,36:26,   18pt 11rb 8as 2st 3to 7-16fg 4-5ft,18,11,8,2,0,3,0,7,16fg,4,5ft
"Teague, Jeff",PG,44.3,"$5,700",min,was,away, 131-109,27:37,   15pt 4rb 13as 3st 4to 2trey 6-12fg 1-1ft,15,4,13,3,0,4,2,6,12fg,1,1ft
"Bacon, Dwayne",SG,41.2,"$4,300",cha,gsw,away, 93-87,37:21,   25pt 6rb 2as 2st 10-21fg 5-5ft,25,6,2,2,0,0,0,10,21fg,5,5ft
"Brown, Bruce",SG,40.9,"$3,500",det,bkn,home, 113-109,40:15,   22pt 2rb 7as 2st 8-20fg 6-8ft,22,2,7,2,0,0,0,8,20fg,6,8ft
"Gilgeous-Alexander, Shai",SG,40.6,"$7,800",okc,nor,home, 115-104,35:31,   23pt 8rb 4as 1bl 1to 3trey 8-14fg 4-5ft,23,8,4,0,1,1,3,8,14fg,4,5ft
"Morant, Ja",PG,37.1,"$7,500",mem,pho,home, 105-114,28:43,   24pt 3rb 7as 1st 4to 2trey 9-16fg 4-4ft,24,3,7,1,0,4,2,9,16fg,4,4ft
"Schroder, Dennis",SG,35.8,"$6,000",okc,nor,home, 115-104,29:13,   17pt 9rb 2as 1st 1bl 1to 7-17fg 3-5ft,17,9,2,1,1,1,0,7,17fg,3,5ft
"Paul, Chris",PG,35.7,"$7,100",okc,nor,home, 115-104,29:17,   15pt 1rb 9as 3st 3to 3trey 5-9fg 2-2ft,15,1,9,3,0,3,3,5,9fg,2,2ft
"Rozier, Terry",PG,34.5,"$7,400",cha,gsw,away, 93-87,36:33,   20pt 5rb 7as 2to 8-17fg 4-8ft,20,5,7,0,0,2,0,8,17fg,4,8ft
"Bowman, Ky",PG,34.4,"$4,000",gsw,cha,home, 87-93,38:42,   16pt 7rb 4as 2st 2to 2trey 6-11fg 2-2ft,16,7,4,2,0,2,2,6,11fg,2,2ft
"Bledsoe, Eric",PG,34.3,"$6,000",mil,tor,home, 115-105,24:28,   14pt 9rb 5as 1st 1to 1trey 5-12fg 3-3ft,14,9,5,1,0,1,1,5,12fg,3,3ft
"Ball, Lonzo",PG,34.1,"$7,300",nor,okc,away, 104-115,32:31,   10pt 8rb 7as 3st 5to 2trey 4-11fg 0-2ft,10,8,7,3,0,5,2,4,11fg,0,2ft
"Rubio, Ricky",PG,33,"$6,500",pho,mem,away, 114-105,35:15,   11pt 5rb 6as 3st 2to 1trey 4-12fg 2-3ft,11,5,6,3,0,2,1,4,12fg,2,3ft
"Richardson, Josh",SG,31.8,"$6,000",phi,por,away, 129-128,35:51,   17pt 4rb 6as 1st 1bl 5to 1trey 7-15fg 2-2ft,17,4,6,1,1,5,1,7,15fg,2,2ft
"Thomas, Isaiah",PG,31.3,"$4,900",was,min,home, 109-131,19:27,   16pt 4rb 7as 1bl 3to 2trey 6-14fg 2-2ft,16,4,7,0,1,3,2,6,14fg,2,2ft
"Murray, Jamal",PG,30.8,"$6,600",den,orl,away, 91-87,32:16,   22pt 4rb 2as 1st 2to 2trey 7-15fg 6-6ft,22,4,2,1,0,2,2,7,15fg,6,6ft
"Holiday, Jrue",SG,29.6,"$8,500",nor,okc,away, 104-115,34:51,   16pt 3rb 6as 1st 2to 2trey 6-15fg 2-2ft,16,3,6,1,0,2,2,6,15fg,2,2ft
"VanVleet, Fred",SG,28.7,"$7,000",tor,mil,away, 105-115,41:17,   12pt 6rb 7as 1to 2trey 2-10fg 6-6ft,12,6,7,0,0,1,2,2,10fg,6,6ft
"Beal, Bradley",SG,28.5,"$9,900",was,min,home, 109-131,27:53,   30pt 1as 1st 6to 3trey 8-19fg 11-13ft,30,0,1,1,0,6,3,8,19fg,11,13ft
"Redick, J.J.",SG,25.1,"$4,000",nor,okc,away, 104-115,26:52,   17pt 3rb 1as 1st 4trey 6-12fg 1-2ft,17,3,1,1,0,0,4,6,12fg,1,2ft
"Dinwiddie, Spencer",PG,24.6,"$6,200",bkn,det,away, 109-113,25:25,   16pt 3rb 6as 4to 1trey 5-10fg 5-6ft,16,3,6,0,0,4,1,5,10fg,5,6ft
"Diallo, Hamidou",SG,24.5,"$4,500",okc,nor,home, 115-104,29:30,   12pt 5rb 1as 1st 1bl 1to 5-14fg 2-3ft,12,5,1,1,1,1,0,5,14fg,2,3ft
