Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Curry, Stephen",NA,60.2,N/A,gsw,min,home, 143-123,25:28,   40pt 6rb 6as 2st 1bl 5to 6trey 14-19fg 6-6ft,40,6,6,2,1,5,6,14,19fg,6,6ft
"Harden, James",NA,43.1,N/A,hou,tor,home, 118-111,27:31,   22pt 3rb 9as 3st 5to 1trey 6-16fg 9-13ft,22,3,9,3,0,5,1,6,16fg,9,13ft
"Collins, Zach",NA,36.8,N/A,por,,home, 104-,22:56,   16pt 9rb 2as 1st 2bl 2to 7-14fg 2-2ft,16,9,2,1,2,2,0,7,14fg,2,2ft
"Adams, Steven",NA,36.5,N/A,okc,,home, 110-,21:19,   19pt 10rb 1as 1st 1bl 2to 9-12fg 1-4ft,19,10,1,1,1,2,0,9,12fg,1,4ft
"Booker, Devin",NA,35.9,N/A,pho,sac,away, 88-105,23:30,   18pt 7rb 3as 3st 4to 2trey 6-16fg 4-4ft,18,7,3,3,0,4,2,6,16fg,4,4ft
"Simons, Anfernee",NA,35.5,N/A,por,,home, 104-,29:30,   22pt 5rb 3as 1st 4trey 8-15fg 2-2ft,22,5,3,1,0,0,4,8,15fg,2,2ft
"Chriss, Marquese",NA,35.2,N/A,gsw,min,home, 143-123,25:26,   8pt 11rb 4as 1st 2bl 1to 3-6fg 2-2ft,8,11,4,1,2,1,0,3,6fg,2,2ft
"Davis, Anthony",NA,33.9,N/A,lal,bkn,home, 111-114,25:05,   16pt 2rb 5as 1st 2bl 1to 4-10fg 8-9ft,16,2,5,1,2,1,0,4,10fg,8,9ft
"Culver, Jarrett",NA,33.5,N/A,min,gsw,away, 123-143,26:26,   17pt 5rb 3as 1st 1bl 4trey 6-18fg 1-2ft,17,5,3,1,1,0,4,6,18fg,1,2ft
"Siakam, Pascal",NA,33.4,N/A,tor,hou,away, 111-118,21:55,   16pt 7rb 4as 2st 3to 2trey 6-11fg 2-4ft,16,7,4,2,0,3,2,6,11fg,2,4ft
