Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Westbrook, Russell",PG,49.6,"$10,200",hou,sac,home, 118-119,36:05,   34pt 3rb 8as 2st 6to 2trey 13-17fg 6-7ft,34,3,8,2,0,6,2,13,17,6,7
"Harden, James",SG,47.8,"$12,200",hou,sac,home, 118-119,39:53,   27pt 4rb 10as 2st 1bl 8to 3trey 8-19fg 8-8ft,27,4,10,2,1,8,3,8,19,8,8
"LaVine, Zach",SG,46.2,"$8,300",chi,tor,home, 92-93,34:16,   20pt 11rb 6as 1st 1bl 2to 3trey 6-18fg 5-7ft,20,11,6,1,1,2,3,6,18,5,7
"Booker, Devin",SG,41.3,"$8,400",pho,min,home, 125-109,36:15,   26pt 4rb 7as 1bl 3to 3trey 11-20fg 1-2ft,26,4,7,0,1,3,3,11,20,1,2
"Rubio, Ricky",PG,40.8,"$7,600",pho,min,home, 125-109,33:27,   16pt 4rb 14as 1to 2trey 6-16fg 2-2ft,16,4,14,0,0,1,2,6,16,2,2
"Morant, Ja",PG,39.9,"$8,000",mem,gsw,away, 110-102,29:27,   26pt 2rb 7as 1st 2to 3trey 8-14fg 7-8ft,26,2,7,1,0,2,3,8,14,7,8
"Paul, Chris",PG,39.3,"$7,300",okc,uta,away, 104-90,30:24,   16pt 4rb 7as 3st 1to 7-15fg 2-2ft,16,4,7,3,0,1,0,7,15,2,2
"Beverley, Patrick",PG,38.9,"$5,400",lac,ind,away, 110-99,39:19,   11pt 12rb 5as 3st 3to 1trey 5-7fg,11,12,5,3,0,3,1,5,7,0,0
"Wiggins, Andrew",SG,38.8,"$8,000",min,pho,away, 109-125,37:20,   23pt 4rb 4as 2bl 1to 1trey 8-18fg 6-7ft,23,4,4,0,2,1,1,8,18,6,7
"Holiday, Jrue",SG,38.7,"$8,500",nor,det,home, 103-105,34:59,   20pt 6rb 5as 2st 2to 10-21fg 0-4ft,20,6,5,2,0,2,0,10,21,0,4
"Hield, Buddy",SG,37.3,"$8,100",sac,hou,away, 119-118,33:19,   26pt 4rb 3as 2st 4to 6trey 10-19fg,26,4,3,2,0,4,6,10,19,0,0
"Fournier, Evan",SG,36.8,"$7,000",orl,mil,away, 101-110,32:01,   26pt 4rb 2as 1st 4trey 7-17fg 8-9ft,26,4,2,1,0,0,4,7,17,8,9
"Middleton, Khris",SG,36.8,"$7,100",mil,orl,home, 110-101,29:15,   20pt 9rb 4as 1st 3to 4trey 8-18fg,20,9,4,1,0,3,4,8,18,0,0
"Gilgeous-Alexander, Shai",SG,36.7,"$6,900",okc,uta,away, 104-90,33:28,   20pt 6rb 3as 2st 1to 2trey 7-20fg 4-6ft,20,6,3,2,0,1,2,7,20,4,6
"Rose, Derrick",PG,36.1,"$5,800",det,nor,away, 105-103,28:22,   21pt 3rb 7as 1bl 2to 1trey 9-17fg 2-2ft,21,3,7,0,1,2,1,9,17,2,2
"Walker, Kemba",PG,35.9,"$8,100",bos,cle,home, 110-88,29:10,   22pt 2rb 7as 1bl 2to 5trey 8-13fg 1-1ft,22,2,7,0,1,2,5,8,13,1,1
"Joseph, Cory",PG,35.6,"$5,000",sac,hou,away, 119-118,37:58,   14pt 3rb 6as 2st 1bl 3trey 5-11fg 1-1ft,14,3,6,2,1,0,3,5,11,1,1
"Satoransky, Tomas",PG,35.1,"$6,200",chi,tor,home, 92-93,37:59,   10pt 3rb 11as 2st 1to 2trey 4-8fg,10,3,11,2,0,1,2,4,8,0,0
"Mitchell, Donovan",SG,34.7,"$8,200",uta,okc,home, 90-104,35:16,   26pt 6rb 3as 3to 1trey 10-25fg 5-5ft,26,6,3,0,0,3,1,10,25,5,5
"Fultz, Markelle",PG,33.5,"$6,200",orl,mil,away, 101-110,30:07,   13pt 5rb 9as 1st 2to 4-14fg 5-6ft,13,5,9,1,0,2,0,4,14,5,6
"Schroder, Dennis",SG,32.6,"$5,900",okc,uta,away, 104-90,31:29,   27pt 3rb 2as 1to 3trey 11-21fg 2-2ft,27,3,2,0,0,1,3,11,21,2,2
"Russell, D'Angelo",SG,32.1,"$7,900",gsw,mem,home, 102-110,34:06,   18pt 3rb 7as 1st 3to 4trey 6-22fg 2-4ft,18,3,7,1,0,3,4,6,22,2,4
"Powell, Norman",SG,31.3,"$5,700",tor,chi,away, 93-92,28:40,   17pt 4rb 3as 2st 1to 1trey 7-16fg 2-4ft,17,4,3,2,0,1,1,7,16,2,4
"Lowry, Kyle",PG,30.9,"$8,000",tor,chi,away, 93-92,38:32,   11pt 7rb 7as 1bl 2to 1trey 3-15fg 4-5ft,11,7,7,0,1,2,1,3,15,4,5
"Bledsoe, Eric",PG,29.6,"$7,200",mil,orl,home, 110-101,31:57,   6pt 8rb 8as 2bl 4to 3-9fg,6,8,8,0,2,4,0,3,9,0,0
"McLemore, Ben",SG,28.8,"$5,000",hou,sac,home, 118-119,33:28,   12pt 4rb 4as 2bl 4trey 4-13fg,12,4,4,0,2,0,4,4,13,0,0
"Brooks, Dillon",SG,28.6,"$5,500",mem,gsw,away, 110-102,30:44,   17pt 3rb 2as 2st 1to 3trey 6-12fg 2-2ft,17,3,2,2,0,1,3,6,12,2,2
"Teague, Jeff",PG,28.6,"$5,900",min,pho,away, 109-125,27:48,   16pt 3rb 4as 2st 3to 1trey 6-14fg 3-4ft,16,3,4,2,0,3,1,6,14,3,4
"Ross, Terrence",SG,28.3,"$5,300",orl,mil,away, 101-110,30:30,   23pt 4rb 1as 1to 4trey 8-14fg 3-5ft,23,4,1,0,0,1,4,8,14,3,5
"Clarkson, Jordan",SG,27.1,"$4,400",cle,bos,away, 88-110,25:32,   19pt 3rb 3as 1st 3to 3trey 7-14fg 2-2ft,19,3,3,1,0,3,3,7,14,2,2
"Brogdon, Malcolm",PG,26,"$8,400",ind,lac,home, 99-110,30:19,   20pt 2as 2st 3to 2trey 7-15fg 4-4ft,20,0,2,2,0,3,2,7,15,4,4
"Hart, Josh",SG,25.7,"$4,700",nor,det,home, 103-105,30:25,   12pt 6rb 5as 1to 2trey 5-14fg,12,6,5,0,0,1,2,5,14,0,0
"Augustin, D.J.",PG,25.5,"$5,000",orl,mil,away, 101-110,23:14,   13pt 5as 2st 1to 1trey 5-12fg 2-2ft,13,0,5,2,0,1,1,5,12,2,2
"Jones, Tyus",PG,25.1,"$4,500",mem,gsw,away, 110-102,15:32,   5pt 3rb 7as 1st 1bl 1trey 2-3fg,5,3,7,1,1,0,1,2,3,0,0
"Brown, Bruce",SG,20.4,"$3,800",det,nor,away, 105-103,26:13,   8pt 7rb 2as 1st 2to 3-8fg 2-2ft,8,7,2,1,0,2,0,3,8,2,2
"Ball, Lonzo",PG,19.4,"$6,000",nor,det,home, 103-105,29:31,   6pt 7rb 4as 1to 3-5fg,6,7,4,0,0,1,0,3,5,0,0
"Allen, Grayson",SG,18.4,"$4,000",mem,gsw,away, 110-102,11:49,   15pt 2rb 1bl 2to 3trey 6-8fg,15,2,0,0,1,2,3,6,8,0,0
"Melton, De'Anthony",PG,18.3,"$5,600",mem,gsw,away, 110-102,17:02,   7pt 4rb 3as 2st 4to 3-6fg 1-1ft,7,4,3,2,0,4,0,3,6,1,1
"Williams, Louis",SG,18.2,"$6,800",lac,ind,away, 110-99,32:32,   6pt 1rb 6as 1bl 1to 2-19fg 2-2ft,6,1,6,0,1,1,0,2,19,2,2
"Bogdanovic, Bogdan",SG,18.1,"$5,700",sac,hou,away, 119-118,32:09,   13pt 3rb 1as 3trey 5-11fg 0-1ft,13,3,1,0,0,0,3,5,11,0,1
