Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Curry, Stephen",PG,47.5,"$10,300",gsw,tor,away, 109-118,40:16,   34pt 5rb 5as 1st 3to 4trey 8-18fg 14-14ft,34,5,5,1,0,3,4,8,18,14,14
"Lowry, Kyle",PG,27.7,"$6,800",tor,gsw,home, 118-109,36:14,   7pt 6rb 9as 1st 3to 1trey 2-9fg 2-2ft,7,6,9,1,0,3,1,2,9,2,2
"Thompson, Klay",SG,26.5,"$8,000",gsw,tor,away, 109-118,39:19,   21pt 5rb 1as 2to 3trey 8-17fg 2-2ft,21,5,1,0,0,2,3,8,17,2,2
"Iguodala, Andre",SG,24.7,"$5,800",gsw,tor,away, 109-118,29:11,   6pt 6rb 7as 1bl 2to 3-7fg,6,6,7,0,1,2,0,3,7,0,0
"Green, Danny",SG,23.9,"$4,600",tor,gsw,home, 118-109,29:41,   11pt 2rb 1as 1st 2bl 3trey 4-9fg,11,2,1,1,2,0,3,4,9,0,0
"Livingston, Shaun",PG,18.3,"$3,500",gsw,tor,away, 109-118,17:30,   6pt 4rb 1as 1st 1bl 2-6fg 2-2ft,6,4,1,1,1,0,0,2,6,2,2
"VanVleet, Fred",PG,18.2,"$3,500",tor,gsw,home, 118-109,33:06,   15pt 1rb 2as 1to 1trey 5-8fg 4-6ft,15,1,2,0,0,1,1,5,8,4,6
"Cook, Quinn",PG,7.5,"$3,500",gsw,tor,away, 109-118,9:17,   6pt 1as 1trey 2-4fg 1-1ft,6,0,1,0,0,0,1,2,4,1,1
"McCaw, Patrick",SG,4.5,"$3,500",tor,gsw,home, 118-109,6:50,   3pt 1as 1trey 1-2fg,3,0,1,0,0,0,1,1,2,0,0
"Evans III, Jacob",SG,0,"$3,500",gsw,tor,away, 109-118,00:03,   0pt,0,0,0,0,0,0,0,0,0,0,0
"Lin, Jeremy",PG,0,"$3,500",tor,gsw,home, 118-109,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Meeks, Jodie",SG,0,"$3,500",tor,gsw,home, 118-109,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Siakam, Pascal",PF,56.1,"$7,800",tor,gsw,home, 118-109,39:45,   32pt 8rb 5as 1st 2bl 2to 2trey 14-17fg 2-2ft,32,8,5,1,2,2,2,14,17,2,2
"Leonard, Kawhi",SF,41.1,"$10,600",tor,gsw,home, 118-109,43:03,   23pt 8rb 5as 1st 2to 3trey 5-14fg 10-12ft,23,8,5,1,0,2,3,5,14,10,12
"Green, Draymond",PF,34,"$9,500",gsw,tor,away, 109-118,40:22,   10pt 10rb 10as 1st 6to 2-9fg 6-6ft,10,10,10,1,0,6,0,2,9,6,6
"Looney, Kevon",PF,16.1,"$5,400",gsw,tor,away, 109-118,28:20,   9pt 3rb 1as 1st 1to 4-5fg 1-2ft,9,3,1,1,0,1,0,4,5,1,2
"Ibaka, Serge",PF,11.1,"$4,800",tor,gsw,home, 118-109,17:03,   5pt 3rb 1as 1bl 2to 2-7fg 1-2ft,5,3,1,0,1,2,0,2,7,1,2
"Jerebko, Jonas",PF,7.2,"$3,600",gsw,tor,away, 109-118,7:35,   6pt 1rb 2trey 2-4fg,6,1,0,0,0,0,2,2,4,0,0
"McKinnie, Alfonzo",SF,6.2,"$3,500",gsw,tor,away, 109-118,8:26,   6pt 1rb 1to 2trey 2-4fg,6,1,0,0,0,1,2,2,4,0,0
"Powell, Norman",SF,3.2,"$4,100",tor,gsw,home, 118-109,4:35,   2pt 1rb 0-1fg 2-2ft,2,1,0,0,0,0,0,0,1,2,2
"Moreland, Eric",PF,0,"$3,500",tor,gsw,home, 118-109,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Miller, Malcolm",PF,0,"$3,500",tor,gsw,home, 118-109,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Boucher, Chris",PF,0,"$3,500",tor,gsw,home, 118-109,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Durant, Kevin",SF,0,"$11,000",gsw,tor,away, 109-118,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Anunoby, OG",SF,0,"$3,500",tor,gsw,home, 118-109,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Gasol, Marc",C,38.9,"$6,600",tor,gsw,home, 118-109,29:43,   20pt 7rb 1as 2st 1bl 2trey 6-10fg 6-6ft,20,7,1,2,1,0,2,6,10,6,6
"Cousins, DeMarcus",C,11,"$3,500",gsw,tor,away, 109-118,8:04,   3pt 2as 2st 1to 0-2fg 3-4ft,3,0,2,2,0,1,0,0,2,3,4
"Bell, Jordan",C,7.1,"$4,000",gsw,tor,away, 109-118,11:37,   2pt 3rb 1as 1-2fg,2,3,1,0,0,0,0,1,2,0,0
"Bogut, Andrew",C,0,"$3,500",gsw,tor,away, 109-118,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Jones, Damian",C,0,"$3,500",gsw,tor,away, 109-118,NA,   ,0,0,0,0,0,0,0,0,0,0,0
